measured,configuration,performance
TODO,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.538
TODO,"[]",5.5440000000000005
TODO,"[FREQTHRESHOLD, TIMEOUT]",5.613
TODO,"[FREQTHRESHOLD]",5.5440000000000005
TODO,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD]",5.613
TODO,"[TIMEOUT, LOGLEVEL, MINALPHA]",5.538
TODO,"[TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.538
TODO,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.538
TODO,"[DISTTHRESHOLD]",5.545
TODO,"[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.572
TODO,"[TIMEOUT, DISTTHRESHOLD]",5.613
TODO,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.572
TODO,"[DISTTHRESHOLD, MINALPHA]",5.569
TODO,"[FREQTHRESHOLD, MINALPHA]",5.5680000000000005
TODO,"[TIMEOUT, LOGLEVEL]",5.617000000000001
TODO,"[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.548
TODO,"[LOGLEVEL, MINALPHA]",5.571000000000001
TODO,"[LOGLEVEL]",5.547
TODO,"[TIMEOUT, MINALPHA]",5.534000000000001
TODO,"[FREQTHRESHOLD, LOGLEVEL]",5.547
TODO,"[TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.617000000000001
TODO,"[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.534000000000001
TODO,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.617000000000001
TODO,"[DISTTHRESHOLD, LOGLEVEL]",5.548
TODO,"[TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.534000000000001
TODO,"[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.569
TODO,"[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.534000000000001
TODO,"[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.617000000000001
TODO,"[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.571000000000001
TODO,"[TIMEOUT]",5.613
TODO,"[FREQTHRESHOLD, DISTTHRESHOLD]",5.545
TODO,"[MINALPHA]",5.5680000000000005
