FIXEDSTRINGS,INVERTMATCH,WHOLELINE,COUNT,LINENUMBER,MATCHINGFILES,IGNORECASE,time
0,1,0,0,0,0,0,0.544
0,0,0,0,1,0,1,0.558
0,0,1,0,0,1,0,0.809
0,1,0,0,0,0,1,0.592
0,0,0,0,0,1,0,1.51
0,0,1,1,0,0,0,0.834
1,0,1,0,0,0,0,0.536
1,0,0,1,0,0,0,0.762
0,1,0,0,1,0,0,0.55
1,0,0,0,0,1,0,0.692
1,1,0,0,0,0,0,0.542
0,1,1,0,0,0,0,0.539
0,1,0,0,0,1,0,0.047
0,0,0,1,0,0,0,1.574
0,0,1,0,1,0,0,0.582
0,0,1,0,0,0,1,0.602
1,0,0,0,0,0,0,0.557
0,0,1,0,0,0,0,0.552
0,0,0,0,1,0,0,0.577
0,1,0,1,0,0,0,1.691
0,0,0,0,1,1,0,1.577
0,0,0,1,0,1,0,1.862
0,0,0,0,0,1,1,0.209
0,0,0,0,0,0,1,0.565
1,0,0,0,1,0,0,0.551
1,0,0,0,0,0,1,0.549
0,0,0,1,0,0,1,20.824
0,0,0,1,1,0,0,1.467
0,0,0,0,0,0,0,0.556
