measured,configuration,pair_wise,pair_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",56.53,0.0,56.441,0.3,55.963,56.918,true,0.089,0.002,0.008
"false","[POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, SCALE, CLEARDIRBEFORECONVERT]",5.32,0.0,4.354,0.026,4.313,4.395,false,0.966,0.222,0.933
"true","[ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE]",183.6,0.0,182.36,1.262,180.351,184.368,true,1.24,0.007,1.538
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, HALTONERROR, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",81.61,0.0,74.483,0.54,73.624,75.343,false,7.127,0.096,50.794
"false","[POSTCONVERTWEBP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, HALTONERROR, CLEARDIRBEFORECONVERT]",0.0,0.0,3.869,0.01,3.853,3.885,false,3.869,1,14.969
"false","[PLATFORM, POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, HALTONERROR, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",2.78,0.0,8.702,0.093,8.553,8.851,false,5.922,0.681,35.07
"true","[SKIPUPSCALING, ROUNDINGHANDLER]",3.22,0.0,3.342,0.019,3.312,3.372,false,0.122,0.037,0.015
"false","[SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE]",5.43,0.0,7.638,0.035,7.583,7.693,false,2.208,0.289,4.875
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, IOSCREATEIMAGESETFOLDERS]",2.39,0.0,2.301,0.008,2.289,2.313,false,0.089,0.039,0.008
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, VERBOSELOG, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS]",0.0,0.0,14.758,0.534,13.909,15.607,false,14.758,1,217.799
"false","[PLATFORM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, SCALEMODE]",0.0,0.0,3.788,0.018,3.759,3.816,false,3.788,1,14.349
"false","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.0,0.0,7.801,0.037,7.742,7.859,false,7.801,1,60.856
"true","[VERBOSELOG, ROUNDINGHANDLER]",55.97,0.0,56.662,0.909,55.215,58.109,true,0.692,0.012,0.479
"true","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR]",56.53,0.0,56.196,0.677,55.118,57.274,true,0.334,0.006,0.112
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.0,0.0,26.88,0.087,26.741,27.019,false,26.88,1,722.534
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.0,0.0,38.18,0.325,37.662,38.697,false,38.18,1,1457.712
"false","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",26.99,0.0,3.347,0.004,3.341,3.354,false,23.643,7.064,558.991
"false","[POSTCONVERTWEBP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, COMPRESSQUALITY]",52.67,0.0,54.267,0.616,53.286,55.248,false,1.597,0.029,2.55
"false","[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",48.06,0.0,13.771,0.136,13.554,13.988,false,34.289,2.49,1175.736
"false","[PLATFORM, UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM]",360.05,0.0,387.561,0.806,386.279,388.843,false,27.511,0.071,756.855
"true","[POSTCONVERTWEBP, SCALEMODE]",2.47,0.0,2.513,0.012,2.494,2.533,false,0.043,0.017,0.002
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, SCALEMODE, ROUNDINGHANDLER, SCALE]",0.0,0.0,7.811,0.017,7.784,7.837,false,7.811,1,61.012
"false","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ROUNDINGHANDLER, SCALE, CLEARDIRBEFORECONVERT]",143.46,0.0,25.061,0.073,24.945,25.177,false,118.399,4.724,14018.323
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, HALTONERROR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",0.0,0.0,3.768,0.017,3.74,3.796,false,3.768,1,14.198
"false","[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,7.797,0.029,7.752,7.843,false,7.797,1,60.793
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.0,0.0,7.806,0.058,7.714,7.898,false,7.806,1,60.934
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, SCALE, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",5.06,0.0,5.364,0.026,5.324,5.405,false,0.304,0.057,0.092
"false","[SCALEISHEIGHTDP, COMPRESSQUALITY, VERBOSELOG]",53.1,0.0,53.271,0.613,52.296,54.246,true,0.171,0.003,0.029
"false","[SCALEISHEIGHTDP, ENABLEPNGCRUSH, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, SCALEMODE, ROUNDINGHANDLER, HALTONERROR, CLEARDIRBEFORECONVERT]",5.35,0.0,3.071,0.006,3.062,3.081,false,2.279,0.742,5.194
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.0,0.0,8.358,0.031,8.31,8.407,false,8.358,1,69.856
"false","[PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, ENABLEMOZJPEG, COMPRESSQUALITY, VERBOSELOG, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",4.77,0.0,14.939,0.267,14.515,15.363,false,10.169,0.681,103.409
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, CLEARDIRBEFORECONVERT]",0.0,0.0,14.428,0.064,14.326,14.53,false,14.428,1,208.167
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",3.61,0.0,7.258,0.045,7.186,7.33,false,3.648,0.503,13.308
"false","[SCALEISHEIGHTDP, ENABLEPNGCRUSH, ENABLEANTIALIASING, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",8.55,0.0,7.947,0.09,7.804,8.09,false,0.603,0.076,0.364
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY]",84.81,0.0,83.663,0.42,82.994,84.332,false,1.147,0.014,1.316
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.0,0.0,8.353,0.024,8.314,8.392,false,8.353,1,69.773
"true","[DOWNSCALINGALGORITHM, ENABLEANTIALIASING]",73.04,0.0,73.923,1.021,72.298,75.548,true,0.883,0.012,0.78
"false","[PLATFORM, ENABLEMOZJPEG, COMPRESSQUALITY, HALTONERROR, GUIADVANCEDOPTIONS]",104.75,0.0,102.678,0.828,101.36,103.995,false,2.072,0.02,4.293
"false","[PLATFORM, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",0.0,0.0,7.783,0.008,7.769,7.796,false,7.783,1,60.575
"false","[POSTCONVERTWEBP, CREATEMIPMAPINSTEADOFDRAWABLEDIR, GUIADVANCEDOPTIONS, PLATFORM, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, CLEARDIRBEFORECONVERT]",0.0,0.0,8.351,0.047,8.276,8.426,false,8.351,1,69.739
"false","[SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, COMPRESSQUALITY, ENABLEANTIALIASING, ROUNDINGHANDLER, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",7.25,0.0,3.771,0.018,3.742,3.8,false,3.479,0.923,12.103
"true","[OUTPUTCOMPRESSIONGMODE, GUIADVANCEDOPTIONS]",181.98,0.0,181.694,1.378,179.502,183.887,true,0.286,0.002,0.082
"true","[SCALEISHEIGHTDP, VERBOSELOG]",56.19,0.0,56.889,0.334,56.358,57.42,false,0.699,0.012,0.489
"false","[PLATFORM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, ENABLEANTIALIASING, SCALEMODE, SCALE, GUIADVANCEDOPTIONS]",0.0,0.0,14.531,0.152,14.29,14.772,false,14.531,1,211.15
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALE, IOSCREATEIMAGESETFOLDERS]",0.0,0.0,20.709,0.251,20.31,21.108,false,20.709,1,428.863
"true","[INCLUDEANDROIDLDPITVDPI, OUTPUTCOMPRESSIONGMODE]",201.47,0.0,196.981,0.618,195.998,197.964,false,4.489,0.023,20.151
"false","[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, CLEARDIRBEFORECONVERT]",0.0,0.0,4.421,0.116,4.236,4.606,false,4.421,1,19.545
"true","[ENABLEMOZJPEG, DOWNSCALINGALGORITHM]",56.53,0.0,56.764,0.935,55.277,58.251,true,0.234,0.004,0.055
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS]",0.0,0.0,8.383,0.027,8.339,8.426,false,8.383,1,70.275
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, SCALE]",8.34,0.0,4.042,0.042,3.975,4.109,false,4.298,1.063,18.473
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, CREATEMIPMAPINSTEADOFDRAWABLEDIR, VERBOSELOG, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",64.37,0.0,56.984,0.223,56.628,57.339,false,7.386,0.13,54.553
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",0.0,0.0,2.32,0.002,2.316,2.324,false,2.32,1,5.382
"false","[ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",171.74,0.0,175.869,1.37,173.689,178.05,false,4.129,0.023,17.049
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEMOZJPEG, ENABLEANTIALIASING, SCALEMODE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",6.3,0.0,2.398,0.015,2.374,2.422,false,3.902,1.627,15.226
"false","[SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ROUNDINGHANDLER, GUIADVANCEDOPTIONS]",163.11,0.0,177.336,1.739,174.569,180.103,false,14.226,0.08,202.379
"true","[PLATFORM, ROUNDINGHANDLER]",109.68,0.0,109.337,0.328,108.815,109.859,true,0.343,0.003,0.118
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.0,0.0,5.756,0.112,5.577,5.935,false,5.756,1,33.132
