BASE,KEYS,ENCRYPT,AUTORESPONDER,ADDRESSBOOK,SIGN,FORWARD,VERIFY,DECRYPT,time
1,1,0,0,0,0,1,0,0,15.868
1,0,0,1,0,0,1,0,0,21.054
1,0,0,0,0,0,1,0,0,11.725
1,1,0,0,0,0,0,0,0,4.225
1,1,0,1,0,0,0,0,0,9.822
1,0,0,0,0,0,0,0,0,0.008
1,0,0,1,0,0,0,0,0,5.617
1,0,0,1,1,0,0,0,0,8.844
1,0,0,0,1,0,0,0,0,2.141
1,1,0,0,1,0,0,0,0,6.358
1,0,0,0,1,0,1,0,0,15.89
