configuration,pm,bf,absolute error,relative % error,squared error
"[FEATUREGZIP, FEATUREArchiveCheck]",7.508068551,5.86862262,1.639445931,27.935787273368756,2.687782960672457
"[]",7.546320599,6.086926988999999,1.4593936100000011,23.97586849057573,2.129829708908835
"[FEATUREGZIP]",7.508068551,6.839703104,0.6683654470000002,9.771848819126758,0.4467123707435101
"[FEATUREArchiveCheck]",7.546320599,5.362738591,2.183582008,40.717666374128136,4.768030385661312

MSE: 2.5080888564965287
RMSE: 1.5836946853786333
