measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER]",5.73,0.0,6.046,0.171,5.621,6.471,true,0.316,0.052,0.1
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, CLOCK]",43.3,0.0,8.519,0.286,7.809,9.229,false,34.781,4.083,1209.718
"true","[CLOCK]",13.78,0.0,13.956,0.47,12.789,15.124,true,0.176,0.013,0.031
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.43,0.0,61.862,0.593,60.39,63.334,false,7.432,0.12,55.235
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",46.26,0.0,47.638,0.586,46.181,49.095,true,1.378,0.029,1.899
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.12,0.0,18.399,0.185,17.938,18.86,false,1.279,0.07,1.636
"false","[TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",14.5,0.0,9.31,0.108,9.041,9.579,false,5.19,0.557,26.936
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",17.07,0.0,18.066,0.866,15.916,20.217,true,0.996,0.055,0.992
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",55.03,0.0,61.438,0.047,61.323,61.554,false,6.408,0.104,41.062
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER]",5.73,0.0,6.395,0.434,5.317,7.474,true,0.665,0.104,0.442
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER, CLOCK]",5.73,0.0,6.058,0.398,5.068,7.047,true,0.328,0.054,0.108
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.38,0.0,61.477,0.269,60.81,62.145,false,7.097,0.115,50.367
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",46.93,0.0,8.617,0.344,7.762,9.473,false,38.313,4.446,1467.886
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",14.45,0.0,8.736,0.266,8.075,9.396,false,5.714,0.654,32.65
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",43.35,0.0,9.226,0.142,8.873,9.579,false,34.124,3.699,1164.447
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",54.09,0.0,67.697,0.397,66.71,68.683,false,13.607,0.201,185.15
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD]",14.45,0.0,8.55,0.369,7.634,9.467,false,5.9,0.69,34.81
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",46.93,0.0,8.616,0.169,8.195,9.037,false,38.314,4.447,1467.963
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",17.79,0.0,18.446,0.234,17.866,19.027,false,0.656,0.036,0.43
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",54.38,0.0,62.168,0.576,60.738,63.599,false,7.788,0.125,60.653
"false","[TRANSIENTMODE, MONITOR]",6.33,0.0,6.026,0.441,4.93,7.121,true,0.304,0.05,0.092
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.67,0.0,9.404,0.248,8.787,10.021,true,0.266,0.028,0.071
"false","[FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.12,0.0,18.455,0.211,17.931,18.98,false,1.335,0.072,1.782
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.43,0.0,62.088,0.414,61.059,63.118,false,7.658,0.123,58.645
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",13.85,0.0,8.489,0.133,8.158,8.82,false,5.361,0.632,28.74
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",17.12,0.0,18.738,0.734,16.915,20.56,true,1.618,0.086,2.618
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",54.43,0.0,62.159,0.254,61.528,62.789,false,7.729,0.124,59.737
"false","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",43.64,0.0,6.076,0.395,5.095,7.056,false,37.564,6.182,1411.054
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",46.64,0.0,18.643,0.216,18.107,19.179,false,27.997,1.502,783.832
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",25.84,0.0,35.245,0.299,34.504,35.987,false,9.405,0.267,88.454
"false","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD]",51.09,0.0,53.418,0.669,51.756,55.08,false,2.328,0.044,5.42
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD, CLOCK]",14.45,0.0,8.947,0.22,8.4,9.493,false,5.503,0.615,30.283
"false","[DEEPCOPY, FILESIZETHRESHOLD, CLOCK]",21.9,0.0,24.432,1.181,21.499,27.365,true,2.532,0.104,6.411
