measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER]",6.08,0.0,6.046,0.171,5.621,6.471,true,0.034,0.006,0.001
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, CLOCK]",15.05,0.0,8.519,0.286,7.809,9.229,false,6.531,0.767,42.654
"true","[CLOCK]",13.36,0.0,13.956,0.47,12.789,15.124,true,0.596,0.043,0.355
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",67.02,0.0,61.862,0.593,60.39,63.334,false,5.158,0.083,26.605
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",48.09,0.0,47.638,0.586,46.181,49.095,true,0.452,0.009,0.204
"false","[TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",12.47,0.0,9.31,0.108,9.041,9.579,false,3.16,0.339,9.986
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.77,0.0,18.399,0.185,17.938,18.86,false,0.629,0.034,0.396
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",18.35,0.0,18.066,0.866,15.916,20.217,true,0.284,0.016,0.081
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",66.28,0.0,61.438,0.047,61.323,61.554,false,4.842,0.079,23.445
"true","[TRANSIENTMODE, SNAPSHOTSERIALIZER]",6.08,0.0,6.395,0.434,5.317,7.474,true,0.315,0.049,0.099
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER, CLOCK]",5.72,0.0,6.058,0.398,5.068,7.047,true,0.338,0.056,0.114
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",68.32,0.0,61.477,0.269,60.81,62.145,false,6.843,0.111,46.827
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",21.29,0.0,8.617,0.344,7.762,9.473,false,12.673,1.471,160.605
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",10.29,0.0,8.736,0.266,8.075,9.396,false,1.554,0.178,2.415
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",13.93,0.0,9.226,0.142,8.873,9.579,false,4.704,0.51,22.128
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",71.84,0.0,67.697,0.397,66.71,68.683,false,4.143,0.061,17.164
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",19.61,0.0,8.616,0.169,8.195,9.037,false,10.994,1.276,120.868
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD]",10.65,0.0,8.55,0.369,7.634,9.467,false,2.1,0.246,4.41
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",23.8,0.0,18.446,0.234,17.866,19.027,false,5.354,0.29,28.665
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",66.64,0.0,62.168,0.576,60.738,63.599,false,4.472,0.072,19.999
"true","[TRANSIENTMODE, MONITOR]",6.08,0.0,6.026,0.441,4.93,7.121,true,0.054,0.009,0.003
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",10.13,0.0,9.404,0.248,8.787,10.021,false,0.726,0.077,0.527
"false","[FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",18.71,0.0,18.455,0.211,17.931,18.98,true,0.255,0.014,0.065
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",67.02,0.0,62.088,0.414,61.059,63.118,false,4.932,0.079,24.325
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",10.65,0.0,8.489,0.133,8.158,8.82,false,2.161,0.255,4.67
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",17.41,0.0,18.738,0.734,16.915,20.56,true,1.328,0.071,1.764
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",65.34,0.0,62.159,0.254,61.528,62.789,false,3.181,0.051,10.119
