measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.71,0.0,9.31,0.088,0.4,0.043,0.16
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",18.3,0.0,18.399,0.151,0.099,0.005,0.01
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",18.181,0.0,18.066,0.707,0.115,0.006,0.013
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",61.119,0.0,61.438,0.038,0.319,0.005,0.102
"true","[TRANSIENTMODE, SNAPSHOTSERIALIZER]",6.059,0.0,6.395,0.355,0.336,0.053,0.113
"true","[TRANSIENTMODE, SNAPSHOTSERIALIZER, CLOCK]",5.725,0.0,6.058,0.325,0.333,0.055,0.111
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",61.114,0.0,61.477,0.219,0.363,0.006,0.132
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",8.314,0.0,8.617,0.281,0.303,0.035,0.092
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",8.369,0.0,8.736,0.217,0.367,0.042,0.135
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",9.71,0.0,9.226,0.116,0.484,0.052,0.234
"true","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",69.828,0.0,67.697,0.324,2.131,0.031,4.541
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.314,0.0,8.616,0.138,0.302,0.035,0.091
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD]",8.755,0.0,8.55,0.301,0.205,0.024,0.042
