measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, CLOCK]",9.097,0,8.519,0.286,7.809,9.229,true,0.578,0.068,0.334
"true","[CLOCK]",13.822,0,13.956,0.47,12.789,15.124,true,0.134,0.01,0.018
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",61.239,0,61.862,0.593,60.39,63.334,true,0.623,0.01,0.388
"true","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",48.35,0,47.638,0.586,46.181,49.095,true,0.712,0.015,0.507
"true","[TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.112,0,9.31,0.108,9.041,9.579,true,0.198,0.021,0.039
"true","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",17.838,0,18.399,0.185,17.938,18.86,false,0.561,0.03,0.315
"true","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",17.604,0,18.066,0.866,15.916,20.217,true,0.462,0.026,0.213
"true","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",62.015,0,61.438,0.047,61.323,61.554,false,0.577,0.009,0.333
"true","[TRANSIENTMODE, SNAPSHOTSERIALIZER]",6.059,0,6.395,0.434,5.317,7.474,true,0.336,0.053,0.113
"true","[TRANSIENTMODE, SNAPSHOTSERIALIZER, CLOCK]",5.725,0,6.058,0.398,5.068,7.047,true,0.333,0.055,0.111
"true","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",62.591,0,61.477,0.269,60.81,62.145,false,1.114,0.018,1.241
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.269,0,8.617,0.344,7.762,9.473,true,0.652,0.076,0.425
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",9.186,0,8.736,0.266,8.075,9.396,true,0.45,0.052,0.202
"true","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",69.828,0,67.697,0.397,66.71,68.683,false,2.131,0.031,4.541
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",9.393,0,9.226,0.142,8.873,9.579,true,0.167,0.018,0.028
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.063,0,8.616,0.169,8.195,9.037,false,0.553,0.064,0.306
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD]",8.709,0,8.55,0.369,7.634,9.467,true,0.159,0.019,0.025
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",19.303,0,18.446,0.234,17.866,19.027,false,0.857,0.046,0.734
"true","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",62.261,0,62.168,0.576,60.738,63.599,true,0.093,0.001,0.009
"true","[TRANSIENTMODE, MONITOR]",5.901,0,6.026,0.441,4.93,7.121,true,0.125,0.021,0.016
"true","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.223,0,9.404,0.248,8.787,10.021,true,0.181,0.019,0.033
"true","[FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.007,0,18.455,0.211,17.931,18.98,false,0.552,0.03,0.305
"true","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",62.336,0,62.088,0.414,61.059,63.118,true,0.248,0.004,0.062
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.897,0,8.489,0.133,8.158,8.82,false,0.408,0.048,0.166
"true","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",18.507,0,18.738,0.734,16.915,20.56,true,0.231,0.012,0.053
"true","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",6.228,0,6.076,0.395,5.095,7.056,true,0.152,0.025,0.023
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",61.669,0,62.159,0.254,61.528,62.789,true,0.49,0.008,0.24
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",19.196,0,18.643,0.216,18.107,19.179,false,0.553,0.03,0.306
"true","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD]",52.772,0,53.418,0.669,51.756,55.08,true,0.646,0.012,0.417
"true","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.777,0,35.245,0.299,34.504,35.987,true,0.532,0.015,0.283
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD, CLOCK]",9.389,0,8.947,0.22,8.4,9.493,true,0.442,0.049,0.195
"true","[DEEPCOPY, FILESIZETHRESHOLD, CLOCK]",23.902,0,24.432,1.181,21.499,27.365,true,0.53,0.022,0.281
"true","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.252,0,9.608,0.241,9.008,10.207,true,0.356,0.037,0.127
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",18.717,0,18.745,0.565,17.341,20.149,true,0.028,0.001,0.001
"true","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.103,0,18.635,0.366,17.725,19.545,true,0.468,0.025,0.219
"true","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, CLOCK]",9.065,0,9.582,0.114,9.3,9.864,false,0.517,0.054,0.267
