A,B,C,D,time
0,1,0,1,1.013
1,0,1,0,10.021
0,0,0,1,1.008
0,0,0,0,1.007
1,0,0,0,3.012
1,1,0,0,7.016
0,1,0,0,1.01
0,0,1,0,1.012
1,0,0,1,3.011
0,0,1,1,1.008
0,1,1,0,1.007
