measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[]",1.56,0.0,1.007,0.001,1.005,1.008,false,0.553,0.549,0.306
"true","[A]",3.12,0.0,3.112,0.003,3.107,3.116,false,0.008,0.003,0
"true","[B]",1.56,0.0,1.207,0.001,1.206,1.209,false,0.353,0.292,0.125
"true","[C]",1.56,0.0,1.308,0.002,1.306,1.311,false,0.252,0.193,0.064
"true","[D]",1.56,0.0,1.41,0.002,1.407,1.413,false,0.15,0.106,0.023
"true","[E]",1.56,0.0,1.51,0.002,1.507,1.514,false,0.05,0.033,0.003
"true","[F]",1.56,0.0,1.611,0.001,1.609,1.614,false,0.051,0.032,0.003
"true","[G]",1.56,0.0,1.708,0.001,1.707,1.71,false,0.148,0.087,0.022
"true","[H]",1.56,0.0,1.811,0.002,1.808,1.814,false,0.251,0.139,0.063
"true","[I]",1.56,0.0,1.909,0.003,1.905,1.913,false,0.349,0.183,0.122
"true","[J]",1.56,0.0,1.007,0.001,1.005,1.008,false,0.553,0.549,0.306
"false","[A, B]",3.12,0.0,6.318,0.003,6.313,6.323,false,3.198,0.506,10.227
"false","[A, C]",3.12,0.0,7.42,0.002,7.416,7.423,false,4.3,0.58,18.49
"false","[A, D]",3.12,0.0,3.514,0.002,3.51,3.518,false,0.394,0.112,0.155
"false","[B, C]",1.56,0.0,1.512,0.002,1.509,1.515,false,0.048,0.032,0.002
"false","[A, E]",3.12,0.0,3.617,0.002,3.613,3.62,false,0.497,0.137,0.247
"false","[B, D]",1.56,0.0,1.614,0.001,1.612,1.616,false,0.054,0.033,0.003
"false","[A, F]",3.12,0.0,3.715,0.002,3.711,3.718,false,0.595,0.16,0.354
"false","[B, E]",1.56,0.0,1.714,0.003,1.709,1.719,false,0.154,0.09,0.024
"false","[C, D]",1.56,0.0,1.712,0.002,1.708,1.715,false,0.152,0.089,0.023
"false","[A, G]",3.12,0.0,3.817,0.005,3.809,3.824,false,0.697,0.183,0.486
"false","[C, E]",1.56,0.0,1.813,0.002,1.81,1.815,false,0.253,0.14,0.064
"false","[B, F]",1.56,0.0,1.811,0.001,1.809,1.813,false,0.251,0.139,0.063
"false","[A, H]",3.12,0.0,3.918,0.003,3.913,3.923,false,0.798,0.204,0.637
"false","[B, G]",1.56,0.0,1.913,0.003,1.908,1.917,false,0.353,0.185,0.125
"false","[D, E]",1.56,0.0,1.913,0.002,1.91,1.916,false,0.353,0.185,0.125
"false","[C, F]",1.56,0.0,1.911,0.002,1.908,1.914,false,0.351,0.184,0.123
"false","[B, H]",1.56,0.0,2.013,0.001,2.012,2.014,false,0.453,0.225,0.205
"false","[C, G]",1.56,0.0,2.012,0.002,2.009,2.015,false,0.452,0.225,0.204
"false","[A, I]",3.12,0.0,4.016,0.005,4.008,4.024,false,0.896,0.223,0.803
"false","[D, F]",1.56,0.0,2.014,0.004,2.008,2.021,false,0.454,0.225,0.206
"false","[D, G]",1.56,0.0,2.112,0.004,2.106,2.118,false,0.552,0.261,0.305
"false","[A, J]",3.12,0.0,3.113,0.005,3.105,3.12,true,0.007,0.002,0
"false","[E, F]",1.56,0.0,2.113,0.002,2.11,2.116,false,0.553,0.262,0.306
"false","[C, H]",1.56,0.0,2.111,0.002,2.108,2.114,false,0.551,0.261,0.304
"false","[B, I]",1.56,0.0,2.116,0.008,2.103,2.129,false,0.556,0.263,0.309
"false","[E, G]",1.56,0.0,2.213,0.003,2.208,2.219,false,0.653,0.295,0.426
"false","[B, J]",1.56,0.0,1.211,0.002,1.207,1.215,false,0.349,0.288,0.122
"false","[D, H]",1.56,0.0,2.216,0.004,2.21,2.223,false,0.656,0.296,0.43
"false","[C, I]",1.56,0.0,2.214,0.006,2.204,2.224,false,0.654,0.295,0.428
"false","[E, H]",1.56,0.0,2.316,0.001,2.314,2.317,false,0.756,0.326,0.572
"false","[D, I]",1.56,0.0,2.315,0.007,2.304,2.327,false,0.755,0.326,0.57
"false","[F, G]",1.56,0.0,2.316,0.007,2.304,2.327,false,0.756,0.326,0.572
"false","[C, J]",1.56,0.0,1.309,0.003,1.304,1.313,false,0.251,0.192,0.063
"false","[F, H]",1.56,0.0,2.414,0.004,2.407,2.42,false,0.854,0.354,0.729
"false","[E, I]",1.56,0.0,2.414,0.003,2.409,2.419,false,0.854,0.354,0.729
"false","[D, J]",1.56,0.0,1.408,0.001,1.405,1.41,false,0.152,0.108,0.023
"false","[E, J]",1.56,0.0,1.512,0.005,1.504,1.519,false,0.048,0.032,0.002
"false","[G, H]",1.56,0.0,2.514,0.004,2.508,2.521,false,0.954,0.379,0.91
"false","[F, I]",1.56,0.0,2.516,0.004,2.51,2.523,false,0.956,0.38,0.914
"false","[G, I]",1.56,0.0,2.616,0.006,2.607,2.625,false,1.056,0.404,1.115
"false","[F, J]",1.56,0.0,1.61,0.003,1.605,1.615,false,0.05,0.031,0.003
"false","[H, I]",1.56,0.0,2.717,0.007,2.706,2.729,false,1.157,0.426,1.339
"false","[G, J]",1.56,0.0,1.711,0.004,1.704,1.717,false,0.151,0.088,0.023
"false","[H, J]",1.56,0.0,1.81,0.003,1.806,1.815,false,0.25,0.138,0.062
"false","[I, J]",1.56,0.0,1.908,0.002,1.905,1.911,false,0.348,0.182,0.121
"false","[A, B, C]",3.12,0.0,10.63,0.011,10.612,10.647,false,7.51,0.706,56.4
"false","[A, B, D]",3.12,0.0,6.727,0.009,6.713,6.742,false,3.607,0.536,13.01
"false","[A, C, D]",3.12,0.0,7.829,0.01,7.812,7.845,false,4.709,0.601,22.175
"false","[A, B, E]",3.12,0.0,6.833,0.009,6.818,6.848,false,3.713,0.543,13.786
"false","[A, B, F]",3.12,0.0,6.928,0.011,6.91,6.946,false,3.808,0.55,14.501
"false","[B, C, D]",1.56,0.0,1.92,0.008,1.908,1.932,false,0.36,0.187,0.13
"false","[A, C, E]",3.12,0.0,7.934,0.015,7.91,7.957,false,4.814,0.607,23.175
"false","[A, D, E]",3.12,0.0,4.028,0.009,4.014,4.042,false,0.908,0.225,0.824
"false","[A, B, G]",3.12,0.0,7.03,0.012,7.01,7.049,false,3.91,0.556,15.288
"false","[A, C, F]",3.12,0.0,8.032,0.012,8.013,8.05,false,4.912,0.612,24.128
"false","[B, C, E]",1.56,0.0,2.02,0.009,2.006,2.035,false,0.46,0.228,0.212
"false","[A, B, H]",3.12,0.0,7.121,0.006,7.112,7.131,false,4.001,0.562,16.008
"false","[B, C, F]",1.56,0.0,2.118,0.005,2.111,2.125,false,0.558,0.263,0.311
"false","[B, D, E]",1.56,0.0,2.121,0.007,2.11,2.132,false,0.561,0.264,0.315
"false","[A, C, G]",3.12,0.0,8.128,0.004,8.121,8.135,false,5.008,0.616,25.08
"false","[A, D, F]",3.12,0.0,4.122,0.006,4.112,4.132,false,1.002,0.243,1.004
"false","[C, D, E]",1.56,0.0,2.223,0.008,2.21,2.235,false,0.663,0.298,0.44
"false","[A, C, H]",3.12,0.0,8.23,0.008,8.217,8.243,false,5.11,0.621,26.112
"false","[A, D, G]",3.12,0.0,4.221,0.005,4.214,4.228,false,1.101,0.261,1.212
"false","[A, E, F]",3.12,0.0,4.221,0.008,4.207,4.234,false,1.101,0.261,1.212
"false","[B, C, G]",1.56,0.0,2.218,0.004,2.211,2.225,false,0.658,0.297,0.433
"false","[A, B, I]",3.12,0.0,7.232,0.01,7.215,7.248,false,4.112,0.569,16.909
"false","[B, D, F]",1.56,0.0,2.216,0.005,2.208,2.224,false,0.656,0.296,0.43
"false","[C, D, F]",1.56,0.0,2.321,0.003,2.316,2.325,false,0.761,0.328,0.579
"false","[B, D, G]",1.56,0.0,2.32,0.002,2.316,2.323,false,0.76,0.328,0.578
"false","[A, D, H]",3.12,0.0,4.325,0.008,4.311,4.338,false,1.205,0.279,1.452
"false","[A, B, J]",3.12,0.0,6.329,0.014,6.307,6.351,false,3.209,0.507,10.298
"false","[B, C, H]",1.56,0.0,2.325,0.009,2.311,2.34,false,0.765,0.329,0.585
"false","[A, E, G]",3.12,0.0,4.326,0.008,4.313,4.338,false,1.206,0.279,1.454
"false","[A, C, I]",3.12,0.0,8.325,0.003,8.319,8.33,false,5.205,0.625,27.092
"false","[B, E, F]",1.56,0.0,2.322,0.008,2.309,2.335,false,0.762,0.328,0.581
"false","[A, F, G]",3.12,0.0,4.424,0.008,4.411,4.437,false,1.304,0.295,1.7
"false","[B, E, G]",1.56,0.0,2.419,0.008,2.407,2.432,false,0.859,0.355,0.738
"false","[A, E, H]",3.12,0.0,4.425,0.007,4.414,4.437,false,1.305,0.295,1.703
"false","[A, D, I]",3.12,0.0,4.425,0.011,4.408,4.443,false,1.305,0.295,1.703
"false","[B, C, I]",1.56,0.0,2.418,0.002,2.414,2.421,false,0.858,0.355,0.736
"false","[C, D, G]",1.56,0.0,2.423,0.007,2.412,2.433,false,0.863,0.356,0.745
"false","[A, C, J]",3.12,0.0,7.428,0.012,7.408,7.448,false,4.308,0.58,18.559
"false","[B, D, H]",1.56,0.0,2.416,0.008,2.403,2.428,false,0.856,0.354,0.733
"false","[C, E, F]",1.56,0.0,2.42,0.006,2.41,2.431,false,0.86,0.355,0.74
"false","[C, D, H]",1.56,0.0,2.519,0.008,2.506,2.532,false,0.959,0.381,0.92
"false","[A, E, I]",3.12,0.0,4.522,0.005,4.515,4.529,false,1.402,0.31,1.966
"false","[B, E, H]",1.56,0.0,2.519,0.009,2.506,2.533,false,0.959,0.381,0.92
"false","[B, D, I]",1.56,0.0,2.516,0.003,2.511,2.522,false,0.956,0.38,0.914
"false","[C, E, G]",1.56,0.0,2.519,0.003,2.515,2.523,false,0.959,0.381,0.92
"false","[A, D, J]",3.12,0.0,3.517,0.002,3.513,3.52,false,0.397,0.113,0.158
"false","[B, F, G]",1.56,0.0,2.518,0.006,2.509,2.528,false,0.958,0.38,0.918
"false","[B, C, J]",1.56,0.0,1.517,0.006,1.508,1.526,false,0.043,0.028,0.002
"false","[A, F, H]",3.12,0.0,4.521,0.01,4.505,4.537,false,1.401,0.31,1.963
"false","[D, E, F]",1.56,0.0,7.522,0.006,7.513,7.532,false,5.962,0.793,35.545
"false","[A, G, H]",3.12,0.0,4.626,0.008,4.614,4.639,false,1.506,0.326,2.268
"false","[C, E, H]",1.56,0.0,2.619,0.003,2.614,2.624,false,1.059,0.404,1.121
"false","[B, D, J]",1.56,0.0,1.615,0.007,1.604,1.627,false,0.055,0.034,0.003
"false","[C, F, G]",1.56,0.0,2.62,0.008,2.608,2.632,false,1.06,0.405,1.124
"false","[B, E, I]",1.56,0.0,2.619,0.01,2.604,2.635,false,1.059,0.404,1.121
"false","[A, F, I]",3.12,0.0,4.624,0.002,4.62,4.628,false,1.504,0.325,2.262
"false","[C, D, I]",1.56,0.0,2.622,0.009,2.607,2.636,false,1.062,0.405,1.128
"false","[D, E, G]",1.56,0.0,2.619,0.005,2.611,2.626,false,1.059,0.404,1.121
"false","[A, E, J]",3.12,0.0,3.618,0.001,3.616,3.62,false,0.498,0.138,0.248
"false","[B, F, H]",1.56,0.0,2.619,0.011,2.602,2.637,false,1.059,0.404,1.121
"false","[D, F, G]",1.56,0.0,2.722,0.006,2.712,2.732,false,1.162,0.427,1.35
"false","[A, G, I]",3.12,0.0,4.725,0.005,4.718,4.733,false,1.605,0.34,2.576
"false","[D, E, H]",1.56,0.0,2.723,0.006,2.712,2.733,false,1.163,0.427,1.353
"false","[C, D, J]",1.56,0.0,1.718,0.004,1.711,1.724,false,0.158,0.092,0.025
"false","[C, E, I]",1.56,0.0,2.718,0.007,2.707,2.728,false,1.158,0.426,1.341
"false","[B, F, I]",1.56,0.0,2.72,0.005,2.713,2.728,false,1.16,0.426,1.346
"false","[C, F, H]",1.56,0.0,2.718,0.003,2.714,2.723,false,1.158,0.426,1.341
"false","[B, E, J]",1.56,0.0,1.717,0.008,1.704,1.731,false,0.157,0.091,0.025
"false","[A, F, J]",3.12,0.0,3.723,0.011,3.706,3.74,false,0.603,0.162,0.364
"false","[B, G, H]",1.56,0.0,2.723,0.007,2.711,2.734,false,1.163,0.427,1.353
"false","[C, E, J]",1.56,0.0,1.816,0.001,1.813,1.818,false,0.256,0.141,0.066
"false","[D, E, I]",1.56,0.0,2.823,0.01,2.807,2.84,false,1.263,0.447,1.595
"false","[A, H, I]",3.12,0.0,4.827,0.011,4.81,4.843,false,1.707,0.354,2.914
"false","[B, G, I]",1.56,0.0,2.822,0.006,2.813,2.831,false,1.262,0.447,1.593
"false","[D, F, H]",1.56,0.0,2.818,0.005,2.811,2.826,false,1.258,0.446,1.583
"false","[E, F, G]",1.56,0.0,2.821,0.008,2.808,2.834,false,1.261,0.447,1.59
"false","[C, F, I]",1.56,0.0,2.821,0.011,2.804,2.838,false,1.261,0.447,1.59
"false","[B, F, J]",1.56,0.0,1.813,0.005,1.806,1.821,false,0.253,0.14,0.064
"false","[A, G, J]",3.12,0.0,3.823,0.008,3.81,3.836,false,0.703,0.184,0.494
"false","[C, G, H]",1.56,0.0,2.82,0.006,2.81,2.829,false,1.26,0.447,1.588
"false","[D, E, J]",1.56,0.0,1.918,0.007,1.906,1.929,false,0.358,0.187,0.128
"false","[C, G, I]",1.56,0.0,2.921,0.007,2.91,2.933,false,1.361,0.466,1.852
"false","[B, H, I]",1.56,0.0,2.919,0.007,2.908,2.931,false,1.359,0.466,1.847
"false","[C, F, J]",1.56,0.0,1.914,0.005,1.906,1.923,false,0.354,0.185,0.125
"false","[E, F, H]",1.56,0.0,2.922,0.006,2.912,2.932,false,1.362,0.466,1.855
"false","[B, G, J]",1.56,0.0,1.915,0.006,1.905,1.925,false,0.355,0.185,0.126
"false","[D, F, I]",1.56,0.0,2.921,0.008,2.908,2.935,false,1.361,0.466,1.852
"false","[D, G, H]",1.56,0.0,2.923,0.012,2.904,2.942,false,1.363,0.466,1.858
"false","[A, H, J]",3.12,0.0,3.921,0.004,3.915,3.927,false,0.801,0.204,0.642
"false","[E, G, H]",1.56,0.0,3.022,0.007,3.011,3.033,false,1.462,0.484,2.137
"false","[A, I, J]",3.12,0.0,4.022,0.006,4.012,4.031,false,0.902,0.224,0.814
"false","[B, H, J]",1.56,0.0,2.013,0.004,2.007,2.02,false,0.453,0.225,0.205
"false","[C, H, I]",1.56,0.0,3.018,0.01,3.002,3.033,false,1.458,0.483,2.126
"false","[E, F, I]",1.56,0.0,3.014,0.005,3.007,3.022,false,1.454,0.482,2.114
"false","[C, G, J]",1.56,0.0,2.017,0.009,2.003,2.031,false,0.457,0.227,0.209
"false","[D, G, I]",1.56,0.0,3.021,0.006,3.011,3.03,false,1.461,0.484,2.135
"false","[D, F, J]",1.56,0.0,2.015,0.004,2.009,2.022,false,0.455,0.226,0.207
"false","[D, H, I]",1.56,0.0,3.121,0.007,3.11,3.132,false,1.561,0.5,2.437
"false","[B, I, J]",1.56,0.0,2.115,0.003,2.11,2.12,false,0.555,0.262,0.308
"false","[D, G, J]",1.56,0.0,2.114,0.004,2.108,2.12,false,0.554,0.262,0.307
"false","[F, G, H]",1.56,0.0,3.119,0.001,3.117,3.121,false,1.559,0.5,2.43
"false","[C, H, J]",1.56,0.0,2.114,0.005,2.106,2.121,false,0.554,0.262,0.307
"false","[E, F, J]",1.56,0.0,2.117,0.005,2.109,2.126,false,0.557,0.263,0.31
"false","[E, G, I]",1.56,0.0,3.119,0.006,3.109,3.129,false,1.559,0.5,2.43
"false","[E, H, I]",1.56,0.0,3.219,0.004,3.213,3.225,false,1.659,0.515,2.752
"false","[F, G, I]",1.56,0.0,3.22,0.005,3.212,3.227,false,1.66,0.516,2.756
