measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[BLOCKSIZE, VERBOSE, ENTROPY]",0.754,0.0,0.829,0.021,0.075,0.09,0.006
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE]",0.282,0.0,0.321,0.006,0.039,0.121,0.002
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",58.683,0.0,58.732,0.185,0.049,0.001,0.002
"false","[CHECKSUM, FORCE, ENTROPY]",0.299,0.0,0.28,0.006,0.019,0.068,0
"false","[CHECKSUM, TRANSFORM, LEVEL, VERBOSE]",58.177,0.0,58.69,0.37,0.513,0.009,0.263
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM]",0.788,0.0,0.805,0.005,0.017,0.021,0
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE]",0.815,0.0,0.836,0.006,0.021,0.025,0
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.186,0.0,58.194,0.496,0.008,0,0
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.64,0.0,59.981,0.515,1.341,0.022,1.798
"false","[TRANSFORM, VERBOSE, ENTROPY]",0.221,0.0,0.25,0.004,0.029,0.116,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.692,0.0,58.995,0.361,0.303,0.005,0.092
"false","[CHECKSUM, LEVEL, ENTROPY]",58.194,0.0,58.341,0.234,0.147,0.003,0.022
"false","[CHECKSUM, BLOCKSIZE, LEVEL, VERBOSE]",58.71,0.0,59.524,0.096,0.814,0.014,0.663
"false","[LEVEL, ENTROPY]",58.142,0.0,58.098,0.094,0.044,0.001,0.002
"false","[CHECKSUM, FORCE, VERBOSE]",0.304,0.0,0.314,0.002,0.01,0.032,0
"false","[BLOCKSIZE, VERBOSE]",0.754,0.0,0.769,0.014,0.015,0.02,0
"false","[CHECKSUM, TRANSFORM, LEVEL]",58.172,0.0,58.505,0.389,0.333,0.006,0.111
"false","[FORCE, VERBOSE]",0.252,0.0,0.245,0.002,0.007,0.029,0
"false","[TRANSFORM, LEVEL]",58.12,0.0,58.88,0.613,0.76,0.013,0.578
"false","[CHECKSUM, TRANSFORM]",0.268,0.0,0.281,0.008,0.013,0.046,0
"false","[FORCE, LEVEL, VERBOSE]",58.156,0.0,58.565,0.265,0.409,0.007,0.167
"true","[TRANSFORM]",0.216,0.0,0.216,0.01,0,0,0
"false","[CHECKSUM, FORCE, BLOCKSIZE]",0.81,0.0,0.834,0.009,0.024,0.029,0.001
"false","[BLOCKSIZE, LEVEL, VERBOSE]",58.658,0.0,60.333,0.516,1.675,0.028,2.806
"false","[CHECKSUM, FORCE, LEVEL, VERBOSE]",58.208,0.0,59.33,0.467,1.122,0.019,1.259
"false","[FORCE, BLOCKSIZE]",0.758,0.0,0.776,0.014,0.018,0.023,0
"false","[FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",0.763,0.0,0.809,0.018,0.046,0.057,0.002
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",0.815,0.0,0.852,0.011,0.037,0.043,0.001
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.688,0.0,57.88,0.827,0.808,0.014,0.653
"false","[BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.636,0.0,58.604,0.452,0.032,0.001,0.001
"false","[CHECKSUM, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.177,0.0,57.94,0.211,0.237,0.004,0.056
"false","[FORCE, TRANSFORM, ENTROPY]",0.225,0.0,0.216,0.007,0.009,0.042,0
"false","[CHECKSUM, FORCE, TRANSFORM, ENTROPY]",0.277,0.0,0.296,0.002,0.019,0.064,0
"false","[TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.125,0.0,58.822,0.377,0.697,0.012,0.486
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, VERBOSE]",58.719,0.0,58.275,0.282,0.444,0.008,0.197
"false","[CHECKSUM, BLOCKSIZE, VERBOSE]",0.806,0.0,0.837,0.009,0.031,0.037,0.001
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, ENTROPY]",0.282,0.0,0.34,0.009,0.058,0.171,0.003
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",0.788,0.0,0.811,0.023,0.023,0.028,0.001
"false","[FORCE, TRANSFORM, VERBOSE, ENTROPY]",0.23,0.0,0.249,0.004,0.019,0.076,0
"false","[CHECKSUM, ENTROPY]",0.29,0.0,0.286,0.003,0.004,0.014,0
"false","[FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",0.736,0.0,0.744,0.054,0.008,0.011,0
"false","[FORCE, LEVEL, ENTROPY]",58.151,0.0,57.497,0.866,0.654,0.011,0.428
"false","[CHECKSUM, FORCE, LEVEL, ENTROPY]",58.203,0.0,58.238,0.24,0.035,0.001,0.001
"true","[ENTROPY]",0.238,0.0,0.238,0.012,0,0,0
"false","[FORCE, TRANSFORM]",0.225,0.0,0.223,0.004,0.002,0.009,0
"false","[FORCE, BLOCKSIZE, VERBOSE]",0.763,0.0,0.868,0.05,0.105,0.121,0.011
"false","[BLOCKSIZE, TRANSFORM]",0.727,0.0,0.782,0.017,0.055,0.07,0.003
"false","[BLOCKSIZE, LEVEL, ENTROPY]",58.653,0.0,59.759,0.419,1.106,0.019,1.223
"true","[BLOCKSIZE]",0.749,0.0,0.749,0.009,0,0,0
"false","[TRANSFORM, LEVEL, VERBOSE]",58.125,0.0,58.693,0.293,0.568,0.01,0.323
"false","[FORCE, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",58.667,0.0,58.248,0.175,0.419,0.007,0.176
"false","[LEVEL, VERBOSE]",58.147,0.0,58.07,0.109,0.077,0.001,0.006
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",58.645,0.0,59.006,0.935,0.361,0.006,0.13
"false","[BLOCKSIZE, TRANSFORM, LEVEL]",58.631,0.0,58.301,0.469,0.33,0.006,0.109
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",0.741,0.0,0.775,0.035,0.034,0.044,0.001
"false","[CHECKSUM, BLOCKSIZE, ENTROPY]",0.801,0.0,0.793,0.004,0.008,0.01,0
"false","[BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.631,0.0,58.657,0.606,0.026,0,0.001
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",0.784,0.0,0.829,0.006,0.045,0.054,0.002
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL]",58.714,0.0,58.406,0.318,0.308,0.005,0.095
"false","[FORCE, VERBOSE, ENTROPY]",0.252,0.0,0.276,0.016,0.024,0.087,0.001
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL]",58.181,0.0,58.152,0.37,0.029,0,0.001
"true","[VERBOSE]",0.243,0.0,0.243,0.002,0,0,0
"false","[FORCE, TRANSFORM, LEVEL, ENTROPY]",58.129,0.0,57.594,0.198,0.535,0.009,0.286
"false","[LEVEL, VERBOSE, ENTROPY]",58.147,0.0,58.225,0.524,0.078,0.001,0.006
"false","[CHECKSUM, FORCE, LEVEL]",58.203,0.0,58.293,0.322,0.09,0.002,0.008
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, ENTROPY]",0.779,0.0,0.814,0.006,0.035,0.043,0.001
"false","[FORCE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.134,0.0,58.51,0.34,0.376,0.006,0.141
"false","[CHECKSUM, TRANSFORM, ENTROPY]",0.268,0.0,0.297,0.007,0.029,0.098,0.001
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, ENTROPY]",0.806,0.0,0.904,0.028,0.098,0.108,0.01
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",58.645,0.0,57.333,0.817,1.312,0.023,1.721
"false","[FORCE, ENTROPY]",0.247,0.0,0.234,0.01,0.013,0.056,0
"false","[FORCE, TRANSFORM, VERBOSE]",0.23,0.0,0.249,0.005,0.019,0.076,0
"false","[FORCE, BLOCKSIZE, TRANSFORM]",0.736,0.0,0.727,0.005,0.009,0.012,0
"false","[CHECKSUM, TRANSFORM, VERBOSE, ENTROPY]",0.273,0.0,0.33,0.006,0.057,0.173,0.003

MSE: 0.419
RMSE: 0.647
MAPE: 0.863
