measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL]",60.65,0.0,62.317,1.487,59.951,64.684,true,1.667,0.027,2.779
"false","[]",4.51,0.0,4.464,0.123,4.267,4.66,true,0.046,0.01,0.002
"true","[CHECKSUM]",4.51,0.0,4.553,0.029,4.507,4.598,true,0.043,0.009,0.002
"false","[FORCE, TRANSFORM, VERBOSE, LEVEL]",60.65,0.0,62.044,0.941,60.546,63.541,true,1.394,0.022,1.943
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",60.65,0.0,61.685,0.959,60.16,63.21,true,1.035,0.017,1.071
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",60.65,0.0,61.795,0.656,60.752,62.838,false,1.145,0.019,1.311
"false","[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",60.65,0.0,62.376,0.623,61.385,63.368,false,1.726,0.028,2.979
"false","[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",60.65,0.0,61.659,0.348,61.105,62.213,false,1.009,0.016,1.018
"false","[CHECKSUM, FORCE, VERBOSE, LEVEL, ENTROPY]",60.65,0.0,61.479,0.502,60.681,62.278,false,0.829,0.013,0.687
"false","[VERBOSE, ENTROPY]",4.51,0.0,4.686,0.058,4.594,4.778,false,0.176,0.038,0.031
"false","[FORCE, VERBOSE, LEVEL, ENTROPY]",60.65,0.0,61.71,1.107,59.948,63.472,true,1.06,0.017,1.124
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",60.65,0.0,61.835,0.658,60.789,62.882,false,1.185,0.019,1.404
"false","[TRANSFORM, LEVEL, ENTROPY]",60.65,0.0,61.676,0.581,60.751,62.6,false,1.026,0.017,1.053
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",60.65,0.0,61.914,0.652,60.876,62.952,false,1.264,0.02,1.598
"false","[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",4.51,0.0,4.449,0.043,4.381,4.517,true,0.061,0.014,0.004
"false","[BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",60.65,0.0,61.879,0.424,61.204,62.553,false,1.229,0.02,1.51
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.51,0.0,4.476,0.064,4.374,4.578,true,0.034,0.008,0.001
"false","[CHECKSUM, VERBOSE, ENTROPY]",4.51,0.0,4.775,0.094,4.626,4.924,false,0.265,0.055,0.07
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.51,0.0,4.495,0.047,4.421,4.57,true,0.015,0.003,0
"false","[FORCE, BLOCKSIZE, ENTROPY]",4.51,0.0,4.392,0.039,4.33,4.455,false,0.118,0.027,0.014
