measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",62.454,0.0,62.659,0.727,0.205,0.003,0.042
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE]",4.677,0.0,4.683,0.05,0.006,0.001,0
"true","[BLOCKSIZE, VERBOSE, ENTROPY]",4.482,0.0,4.455,0.066,0.027,0.006,0.001
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",61.797,0.0,62.294,0.288,0.497,0.008,0.247
"false","[CHECKSUM, FORCE, ENTROPY]",4.636,0.0,4.503,0.012,0.133,0.03,0.018
"true","[CHECKSUM, TRANSFORM, LEVEL, VERBOSE]",61.849,0.0,61.826,0.224,0.023,0,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM]",4.378,0.0,4.426,0.046,0.048,0.011,0.002
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE]",4.473,0.0,4.501,0.07,0.028,0.006,0.001
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",61.57,0.0,62.094,0.955,0.524,0.008,0.275
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.493,0.0,61.987,0.824,0.506,0.008,0.256
"true","[TRANSFORM, VERBOSE, ENTROPY]",4.634,0.0,4.66,0.022,0.026,0.006,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",63.399,0.0,61.443,0.24,1.956,0.032,3.826
"true","[CHECKSUM, BLOCKSIZE, LEVEL, VERBOSE]",62.073,0.0,62.073,0.792,0,0,0
"true","[CHECKSUM, LEVEL, ENTROPY]",60.794,0.0,61.289,0.347,0.495,0.008,0.245
"true","[LEVEL, ENTROPY]",61.562,0.0,61.597,0.539,0.035,0.001,0.001
"false","[CHECKSUM, FORCE, VERBOSE]",4.642,0.0,4.713,0.086,0.071,0.015,0.005
"true","[BLOCKSIZE, VERBOSE]",4.333,0.0,4.472,0.051,0.139,0.031,0.019
"true","[CHECKSUM, TRANSFORM, LEVEL]",61.233,0.0,61.423,0.229,0.19,0.003,0.036
"false","[FORCE, VERBOSE]",4.653,0.0,4.713,0.047,0.06,0.013,0.004
"true","[TRANSFORM, LEVEL]",61.061,0.0,61.195,0.293,0.134,0.002,0.018
"true","[CHECKSUM, TRANSFORM]",4.556,0.0,4.5,0.057,0.056,0.012,0.003
"false","[FORCE, LEVEL, VERBOSE]",60.666,0.0,61.599,0.096,0.933,0.015,0.87
"true","[TRANSFORM]",4.568,0.0,4.516,0.045,0.052,0.012,0.003
"true","[BLOCKSIZE, LEVEL, VERBOSE]",62.492,0.0,61.812,0.636,0.68,0.011,0.462
"false","[CHECKSUM, FORCE, BLOCKSIZE]",4.391,0.0,4.472,0.064,0.081,0.018,0.007
"false","[CHECKSUM, FORCE, LEVEL, VERBOSE]",61.73,0.0,61.487,0.342,0.243,0.004,0.059
"false","[FORCE, BLOCKSIZE]",4.575,0.0,4.411,0.096,0.164,0.037,0.027
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",62.454,0.0,62.287,0.237,0.167,0.003,0.028
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.47,0.0,4.521,0.06,0.051,0.011,0.003
"false","[FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.482,0.0,4.434,0.062,0.048,0.011,0.002
"true","[BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",62.155,0.0,61.891,0.246,0.264,0.004,0.07
"true","[CHECKSUM, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",61.57,0.0,61.794,0.708,0.224,0.004,0.05
"false","[FORCE, TRANSFORM, ENTROPY]",4.509,0.0,4.471,0.054,0.038,0.008,0.001
"true","[TRANSFORM, LEVEL, VERBOSE, ENTROPY]",61.321,0.0,61.799,0.444,0.478,0.008,0.228
"false","[CHECKSUM, FORCE, TRANSFORM, ENTROPY]",4.527,0.0,4.532,0.028,0.005,0.001,0
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, VERBOSE]",62.073,0.0,62.324,0.148,0.251,0.004,0.063
"true","[CHECKSUM, BLOCKSIZE, VERBOSE]",4.473,0.0,4.525,0.053,0.052,0.011,0.003
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.708,0.0,4.796,0.071,0.088,0.018,0.008
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.504,0.0,4.508,0.086,0.004,0.001,0
"false","[FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.634,0.0,4.741,0.017,0.107,0.023,0.011
"true","[CHECKSUM, ENTROPY]",4.636,0.0,4.541,0.029,0.095,0.021,0.009
"false","[FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.516,0.0,4.412,0.022,0.104,0.024,0.011
"false","[CHECKSUM, FORCE, LEVEL, ENTROPY]",60.794,0.0,62.026,0.667,1.232,0.02,1.518
"false","[FORCE, LEVEL, ENTROPY]",61.562,0.0,61.784,0.496,0.222,0.004,0.049
"true","[ENTROPY]",4.364,0.0,4.508,0.085,0.144,0.032,0.021
"false","[FORCE, TRANSFORM]",4.568,0.0,4.538,0.075,0.03,0.007,0.001
"false","[FORCE, BLOCKSIZE, VERBOSE]",4.333,0.0,4.486,0.028,0.153,0.034,0.023
"true","[BLOCKSIZE, TRANSFORM]",4.385,0.0,4.446,0.057,0.061,0.014,0.004
"true","[BLOCKSIZE, LEVEL, ENTROPY]",61.738,0.0,61.608,0.4,0.13,0.002,0.017
"true","[BLOCKSIZE]",4.575,0.0,4.43,0.088,0.145,0.033,0.021
"false","[FORCE, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",62.657,0.0,62.452,0.709,0.205,0.003,0.042
"true","[TRANSFORM, LEVEL, VERBOSE]",61.824,0.0,62.278,0.61,0.454,0.007,0.206
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",62.545,0.0,61.965,0.639,0.58,0.009,0.336
"true","[LEVEL, VERBOSE]",60.666,0.0,61.546,0.276,0.88,0.014,0.774
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.527,0.0,4.427,0.062,0.1,0.023,0.01
"true","[BLOCKSIZE, TRANSFORM, LEVEL]",61.812,0.0,61.564,0.206,0.248,0.004,0.062
"true","[CHECKSUM, BLOCKSIZE, ENTROPY]",4.577,0.0,4.471,0.047,0.106,0.024,0.011
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.576,0.0,4.523,0.063,0.053,0.012,0.003
"true","[BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.493,0.0,61.516,0.204,0.977,0.016,0.955
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL]",62.473,0.0,61.694,0.258,0.779,0.013,0.607
"false","[FORCE, VERBOSE, ENTROPY]",4.569,0.0,4.683,0.032,0.114,0.024,0.013
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL]",61.233,0.0,61.107,0.103,0.126,0.002,0.016
"true","[VERBOSE]",4.653,0.0,4.673,0.069,0.02,0.004,0
"false","[FORCE, TRANSFORM, LEVEL, ENTROPY]",61.605,0.0,61.154,0.412,0.451,0.007,0.203
"true","[LEVEL, VERBOSE, ENTROPY]",61.297,0.0,61.729,0.405,0.432,0.007,0.187
"false","[FORCE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",61.321,0.0,61.582,0.333,0.261,0.004,0.068
"false","[CHECKSUM, FORCE, LEVEL]",60.604,0.0,61.496,0.607,0.892,0.015,0.796
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, ENTROPY]",4.504,0.0,4.435,0.038,0.069,0.016,0.005
"true","[CHECKSUM, TRANSFORM, ENTROPY]",4.527,0.0,4.512,0.045,0.015,0.003,0
"true","[CHECKSUM, BLOCKSIZE, VERBOSE, ENTROPY]",4.47,0.0,4.526,0.057,0.056,0.012,0.003
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE, ENTROPY]",62.155,0.0,61.999,0.42,0.156,0.003,0.024
"false","[FORCE, ENTROPY]",4.364,0.0,4.457,0.043,0.093,0.021,0.009
"false","[FORCE, TRANSFORM, VERBOSE]",4.72,0.0,4.758,0.044,0.038,0.008,0.001
"false","[FORCE, BLOCKSIZE, TRANSFORM]",4.385,0.0,4.429,0.046,0.044,0.01,0.002
"true","[CHECKSUM, TRANSFORM, VERBOSE, ENTROPY]",4.708,0.0,4.748,0.028,0.04,0.008,0.002

MSE: 0.252
RMSE: 0.502
MAPE: 1.208
