measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL, ENTROPY]",62.08,0.0,61.272,0.331,60.745,61.798,false,0.808,0.013,0.653
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.35,0.0,4.526,0.045,4.454,4.598,false,0.176,0.039,0.031
"false","[FORCE, TRANSFORM, LEVEL]",61.07,0.0,61.705,0.678,60.626,62.783,true,0.635,0.01,0.403
"true","[CHECKSUM, VERBOSE]",4.66,0.0,4.74,0.088,4.6,4.879,true,0.08,0.017,0.006
"true","[FORCE, LEVEL]",60.56,0.0,61.043,0.443,60.338,61.749,true,0.483,0.008,0.233
"false","[BLOCKSIZE, TRANSFORM, ENTROPY]",4.49,0.0,4.452,0.111,4.275,4.629,true,0.038,0.009,0.001
"false","[CHECKSUM, VERBOSE, LEVEL, ENTROPY]",61.74,0.0,61.561,0.121,61.368,61.754,true,0.179,0.003,0.032
"false","[FORCE, BLOCKSIZE, LEVEL]",61.23,0.0,61.553,0.411,60.899,62.207,true,0.323,0.005,0.104
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.61,0.0,62.659,0.84,61.323,63.995,true,0.049,0.001,0.002
"false","[BLOCKSIZE, VERBOSE, ENTROPY]",4.35,0.0,4.455,0.076,4.335,4.576,true,0.105,0.024,0.011
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE]",4.66,0.0,4.683,0.058,4.59,4.776,true,0.023,0.005,0.001
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",61.74,0.0,62.294,0.333,61.764,62.823,false,0.554,0.009,0.307
"false","[CHECKSUM, FORCE, ENTROPY]",4.49,0.0,4.503,0.014,4.48,4.526,true,0.013,0.003,0
"false","[CHECKSUM, TRANSFORM, VERBOSE, LEVEL]",61.24,0.0,61.826,0.258,61.415,62.237,false,0.586,0.009,0.343
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM]",4.49,0.0,4.426,0.053,4.343,4.51,true,0.064,0.014,0.004
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE]",4.35,0.0,4.501,0.081,4.373,4.629,false,0.151,0.034,0.023
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.25,0.0,62.094,1.102,60.34,63.848,true,0.156,0.003,0.024
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.75,0.0,61.987,0.951,60.474,63.5,true,0.763,0.012,0.582
"false","[TRANSFORM, VERBOSE, ENTROPY]",4.66,0.0,4.66,0.026,4.619,4.701,true,0,0,0
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.75,0.0,61.443,0.277,61.002,61.883,false,1.307,0.021,1.708
"false","[CHECKSUM, LEVEL, ENTROPY]",61.57,0.0,61.289,0.4,60.652,61.926,true,0.281,0.005,0.079
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL]",61.09,0.0,62.073,0.915,60.617,63.528,true,0.983,0.016,0.966
"true","[LEVEL, ENTROPY]",61.57,0.0,61.597,0.622,60.607,62.586,true,0.027,0,0.001
"false","[CHECKSUM, FORCE, VERBOSE]",4.66,0.0,4.713,0.099,4.555,4.871,true,0.053,0.011,0.003
"true","[BLOCKSIZE, VERBOSE]",4.35,0.0,4.472,0.059,4.379,4.566,false,0.122,0.027,0.015
"false","[CHECKSUM, TRANSFORM, LEVEL]",61.07,0.0,61.423,0.264,61.002,61.843,true,0.353,0.006,0.125
"true","[FORCE, VERBOSE]",4.66,0.0,4.713,0.054,4.628,4.799,true,0.053,0.011,0.003
"true","[TRANSFORM, LEVEL]",61.07,0.0,61.195,0.339,60.656,61.734,true,0.125,0.002,0.016
"true","[CHECKSUM, TRANSFORM]",4.49,0.0,4.5,0.066,4.395,4.605,true,0.01,0.002,0
"false","[FORCE, VERBOSE, LEVEL]",60.73,0.0,61.599,0.11,61.424,61.775,false,0.869,0.014,0.755
"true","[TRANSFORM]",4.49,0.0,4.516,0.052,4.434,4.599,true,0.026,0.006,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE]",4.49,0.0,4.472,0.074,4.355,4.589,true,0.018,0.004,0
"false","[BLOCKSIZE, VERBOSE, LEVEL]",61.09,0.0,61.812,0.734,60.643,62.98,true,0.722,0.012,0.521
"false","[CHECKSUM, FORCE, VERBOSE, LEVEL]",60.73,0.0,61.487,0.395,60.858,62.116,false,0.757,0.012,0.573
"true","[FORCE, BLOCKSIZE]",4.49,0.0,4.411,0.111,4.234,4.587,true,0.079,0.018,0.006
"false","[FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.35,0.0,4.434,0.071,4.32,4.547,true,0.084,0.019,0.007
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, ENTROPY]",4.35,0.0,4.521,0.07,4.41,4.632,false,0.171,0.038,0.029
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.61,0.0,62.287,0.273,61.852,62.722,true,0.323,0.005,0.104
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.61,0.0,61.891,0.284,61.439,62.342,false,0.719,0.012,0.517
"false","[CHECKSUM, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.25,0.0,61.794,0.818,60.493,63.095,true,0.456,0.007,0.208
"false","[FORCE, TRANSFORM, ENTROPY]",4.49,0.0,4.471,0.062,4.372,4.57,true,0.019,0.004,0
"false","[CHECKSUM, FORCE, TRANSFORM, ENTROPY]",4.49,0.0,4.532,0.032,4.482,4.583,true,0.042,0.009,0.002
"false","[TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.25,0.0,61.799,0.512,60.984,62.615,true,0.451,0.007,0.203
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL]",61.09,0.0,62.324,0.171,62.051,62.596,false,1.234,0.02,1.523
"false","[CHECKSUM, BLOCKSIZE, VERBOSE]",4.35,0.0,4.525,0.061,4.427,4.622,false,0.175,0.039,0.031
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.66,0.0,4.796,0.082,4.665,4.928,false,0.136,0.028,0.018
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.49,0.0,4.508,0.1,4.349,4.667,true,0.018,0.004,0
"false","[FORCE, TRANSFORM, VERBOSE, ENTROPY]",4.66,0.0,4.741,0.019,4.71,4.772,false,0.081,0.017,0.007
"true","[CHECKSUM, ENTROPY]",4.49,0.0,4.541,0.033,4.488,4.594,true,0.051,0.011,0.003
"false","[FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",4.49,0.0,4.412,0.026,4.371,4.453,false,0.078,0.018,0.006
"false","[FORCE, LEVEL, ENTROPY]",61.57,0.0,61.784,0.572,60.874,62.695,true,0.214,0.003,0.046
"false","[CHECKSUM, FORCE, LEVEL, ENTROPY]",61.57,0.0,62.026,0.77,60.801,63.251,true,0.456,0.007,0.208
"true","[ENTROPY]",4.49,0.0,4.508,0.098,4.351,4.664,true,0.018,0.004,0
"true","[FORCE, TRANSFORM]",4.49,0.0,4.538,0.086,4.401,4.675,true,0.048,0.011,0.002
"false","[FORCE, BLOCKSIZE, VERBOSE]",4.35,0.0,4.486,0.033,4.435,4.538,false,0.136,0.03,0.018
"true","[BLOCKSIZE, TRANSFORM]",4.49,0.0,4.446,0.066,4.341,4.551,true,0.044,0.01,0.002
"false","[BLOCKSIZE, LEVEL, ENTROPY]",62.24,0.0,61.608,0.461,60.874,62.342,true,0.632,0.01,0.399
"true","[BLOCKSIZE]",4.49,0.0,4.43,0.101,4.269,4.591,true,0.06,0.014,0.004
"false","[TRANSFORM, VERBOSE, LEVEL]",61.24,0.0,62.278,0.704,61.157,63.398,true,1.038,0.017,1.077
"false","[FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.1,0.0,62.452,0.819,61.149,63.756,true,0.352,0.006,0.124
"true","[VERBOSE, LEVEL]",60.73,0.0,61.546,0.319,61.039,62.054,false,0.816,0.013,0.666
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.6,0.0,61.965,0.738,60.791,63.139,true,0.365,0.006,0.133
"false","[BLOCKSIZE, TRANSFORM, LEVEL]",61.74,0.0,61.564,0.238,61.185,61.943,true,0.176,0.003,0.031
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.35,0.0,4.427,0.071,4.314,4.54,true,0.077,0.017,0.006
"false","[CHECKSUM, BLOCKSIZE, ENTROPY]",4.49,0.0,4.471,0.054,4.385,4.557,true,0.019,0.004,0
"false","[BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.75,0.0,61.516,0.235,61.142,61.891,false,1.234,0.02,1.523
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.35,0.0,4.523,0.072,4.408,4.639,false,0.173,0.038,0.03
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL]",61.23,0.0,61.694,0.298,61.219,62.169,true,0.464,0.008,0.215
"false","[FORCE, VERBOSE, ENTROPY]",4.66,0.0,4.683,0.037,4.625,4.742,true,0.023,0.005,0.001
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL]",61.07,0.0,61.107,0.119,60.918,61.296,true,0.037,0.001,0.001
"true","[VERBOSE]",4.66,0.0,4.673,0.079,4.547,4.799,true,0.013,0.003,0
"false","[FORCE, TRANSFORM, LEVEL, ENTROPY]",62.08,0.0,61.154,0.475,60.398,61.91,false,0.926,0.015,0.857
"false","[VERBOSE, LEVEL, ENTROPY]",61.74,0.0,61.729,0.467,60.986,62.473,true,0.011,0,0
"false","[CHECKSUM, FORCE, LEVEL]",60.56,0.0,61.496,0.701,60.381,62.611,true,0.936,0.015,0.876
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, ENTROPY]",4.49,0.0,4.435,0.044,4.366,4.505,true,0.055,0.012,0.003
"false","[FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.25,0.0,61.582,0.385,60.969,62.194,false,0.668,0.011,0.446
"false","[CHECKSUM, TRANSFORM, ENTROPY]",4.49,0.0,4.512,0.052,4.428,4.595,true,0.022,0.005,0
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, ENTROPY]",4.35,0.0,4.526,0.065,4.421,4.63,false,0.176,0.039,0.031
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.61,0.0,61.999,0.485,61.227,62.772,true,0.611,0.01,0.373
"true","[FORCE, ENTROPY]",4.49,0.0,4.457,0.05,4.378,4.536,true,0.033,0.007,0.001
"false","[FORCE, TRANSFORM, VERBOSE]",4.66,0.0,4.758,0.051,4.677,4.84,false,0.098,0.021,0.01
"false","[FORCE, BLOCKSIZE, TRANSFORM]",4.49,0.0,4.429,0.053,4.344,4.514,true,0.061,0.014,0.004
"false","[CHECKSUM, TRANSFORM, VERBOSE, ENTROPY]",4.66,0.0,4.748,0.032,4.697,4.798,false,0.088,0.019,0.008

Total: 128
MSE: 0.226
RMSE: 0.475
MAPE: 1.29
Measured within ci: 24
Measured outside ci: 5
Predicted within ci: 71
Predicted outside ci: 28
