RAM_BUFFER_SIZE_MB,MERGE_POLICY,MERGE_SCHEDULER,COMMIT_ON_CLOSE,CHECK_PENDING_FLUSH_UPDATE,READER_POOLING,MAX_BUFFERED_DOCS,CODEC,USE_COMPOUND_FILE,INDEX_DELETION_POLICY,MAX_TOKEN_LENGTH,MAX_CFS_SEGMENT_SIZE_MB,NO_CFS_RATIO,INDEX_COMMIT,MERGED_SEGMENT_WARMER,RAM_PER_THREAD_HARD_LIMIT,SIMILARITY,time
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30.913
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,33.907
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,30.99
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30.611
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,34.068
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.531
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.538
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,33.938
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,30.601
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30.658
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,34.054
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.752
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.616
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30.782
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30.719
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.772
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.738
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.775
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,30.592
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.325
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.972
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.542
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.751
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,30.499
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30.539
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30.564
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,34.225
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24.222
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.993
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30.653
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.526
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.306
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.994
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.146
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,30.775
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.617
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,30.452
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30.684
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.196
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.65
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,30.673
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.001
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,30.933
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30.507
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.673
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.281
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.692
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.749
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,30.524
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.526
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.676
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30.623
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,34.346
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,30.844
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.916
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,30.701
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.627
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.621
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30.593
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30.561
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30.937
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,30.635
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30.858
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.223
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.255
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.225
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.339
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.532
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,30.612
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,30.796
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30.978
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,30.649
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.233
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30.689
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.631
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.586
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.642
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30.935
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.507
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30.583
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.792
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.236
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30.916
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30.677
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30.604
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30.467
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,30.763
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30.735
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.497
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,30.666
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.697
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.618
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,30.568
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.276
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.522
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.583
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,30.852
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.447
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.607
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34.075
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31.096
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,31.15
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,30.68
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.158
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.77
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,30.469
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,30.489
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30.528
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,31.05
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30.659
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.324
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.932
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30.553
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.711
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,30.418
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30.914
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,31.009
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,33.899
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,33.945
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30.508
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,33.956
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30.724
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30.496
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,30.559
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.202
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34.057
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,31.039
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.755
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,31.276
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.769
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.682
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30.663
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30.522
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.584
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,30.799
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,33.932
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30.544
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30.621
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,33.933
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,31.06
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30.532
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30.569
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.054
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30.537
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,30.558
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,31.015
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.506
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,30.951
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.054
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30.548
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,30.95
