measured,configuration,performance,std,minci,maxci
true,"[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, CLOCK]",54.665,0.088,54.445,54.884
true,"[MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",62.428,1.705,58.193,66.663
true,"[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",5.656,0.08,5.457,5.856
true,"[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER]",8.998,0.186,8.534,9.461
true,"[DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.909,0.462,34.763,37.056
true,"[SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",18.047,0.354,17.167,18.928
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.528,0.488,8.316,10.74
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",8.746,0.246,8.134,9.358
true,"[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",75.728,0.77,73.816,77.641
true,"[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",18.556,0.315,17.775,19.338
true,"[DEEPCOPY, DISKSYNC, SNAPSHOTSERIALIZER]",55.773,1.329,52.473,59.074
true,"[DEEPCOPY, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",29.635,0.426,28.576,30.693
true,"[TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.264,0.452,5.142,7.386
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",5.92,0.092,5.691,6.15
true,"[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",61.595,0.432,60.523,62.667
true,"[DEEPCOPY, MONITOR, FILESIZETHRESHOLD, CLOCK]",23.948,0.105,23.688,24.209
true,"[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, CLOCK]",9.529,0.347,8.668,10.39
