FILE_LOCK,AUTOCOMMIT,ACCESS_MODE_DATA,CIPHER,CACHE_TYPE,CACHE_SIZE,MV_STORE,ANALYZE_AUTO,DEFRAG_ALWAYS,IFEXISTS,FORBID_CREATION,IGNORE_UNKNOWN_SETTINGS,PAGE_SIZE,ANALYZE_SAMPLE,COMPRESS,OPTIMIZE_DISTINCT,time
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.59
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.82
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8.92
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8.71
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.93
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8.69
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.01
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10.45
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.09
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.77
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9.17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.83
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.69
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.8
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.44
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.84
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.85
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.73
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.76
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11.11
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8.43
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8.47
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.93
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.77
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.82
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.41
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8.71
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.83
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.75
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.71
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.45
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8.77
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.73
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.81
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.87
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10.99
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.8
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.13
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.98
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.7
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.83
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10.97
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.5
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15.27
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11.01
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.67
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11.03
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8.8
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.04
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10.75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.75
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.49
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.67
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8.72
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8.42
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.8
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.56
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.82
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.73
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.82
