FREQTHRESHOLD,DISTTHRESHOLD,MINALPHA,TIMEOUT,LOGLEVEL,time
0,0,0,1,1,5.328
0,0,1,0,0,5.524
0,1,1,0,0,5.333
1,0,0,0,0,5.476
0,0,0,0,1,5.378
0,1,0,0,1,5.524
1,0,0,1,0,5.516
0,1,0,0,0,5.429
1,1,0,0,0,5.374
0,0,0,0,0,5.348
0,0,1,1,0,5.406
1,0,0,0,1,5.534
0,1,0,1,0,5.493
0,0,0,1,0,5.347
0,0,1,0,1,5.371
1,0,1,0,0,5.5
