FILE_LOCK,AUTOCOMMIT,ACCESS_MODE_DATA,CIPHER,CACHE_TYPE,CACHE_SIZE,MV_STORE,ANALYZE_AUTO,DEFRAG_ALWAYS,IFEXISTS,FORBID_CREATION,IGNORE_UNKNOWN_SETTINGS,PAGE_SIZE,ANALYZE_SAMPLE,COMPRESS,OPTIMIZE_DISTINCT,time
0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,84.86
0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,19.89
1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3.67
0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,3.54
0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,34.84
0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,3.46
1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,87.63
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,19.86
0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,11.7
1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,86.18
0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,3.5
1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,3.61
1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,86.31
1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,19.84
1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,19.89
1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,33.84
1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,86.72
0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,33.8
0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,3.6
0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,11.6
1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,3.62
0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,3.44
1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3.83
1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,3.6
1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,3.63
0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,3.74
1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,19.7
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,11.78
0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,3.69
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11.79
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,87.66
1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,19.69
1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,19.77
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,33.55
1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,19.77
1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,3.52
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,11.73
0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,19.94
0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,33.58
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,3.54
0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,3.62
0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,11.58
0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,11.64
1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,3.66
1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,3.55
0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,34.71
0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,3.7
1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,3.65
0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,3.64
0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,86.38
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,3.45
1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,3.7
1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,3.62
1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,33.84
1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,3.51
1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3.51
0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,3.62
1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,34.79
0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,87.59
0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,3.61
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,19.83
0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,11.58
1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,34.79
1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,85.19
1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,19.93
