measured,configuration,ap1,ap2,absolute error,relative % error,squared error
"TODO","[]",0.006,0.008,0.002,25,0
"TODO","[A]",2.009,2.011,0.002,0.099,0
"TODO","[B]",0.006,0.006,0,0,0
"TODO","[C]",0.006,0.006,0,0,0
"TODO","[A, B]",6.0120000000000005,6.016,0.004,0.066,0
"TODO","[A, C]",9.011,9.009,0.002,0.022,0
"TODO","[B, C]",0.006,0.006,0,0,0
"TODO","[A, B, C]",13.014,13.013,0.001,0.008,0

MSE: 0
RMSE: 0
