measured,configuration,pair_wise,pair_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",1.01,0.0,1.007,0.001,1.005,1.008,false,0.003,0.003,0
"true","[A]",3.12,0.0,3.112,0.003,3.107,3.116,false,0.008,0.003,0
"true","[B]",1.22,0.0,1.207,0.001,1.206,1.209,false,0.013,0.011,0
"true","[C]",1.32,0.0,1.308,0.002,1.306,1.311,false,0.012,0.009,0
"true","[D]",1.41,0.0,1.41,0.002,1.407,1.413,true,0,0,0
"true","[E]",1.51,0.0,1.51,0.002,1.507,1.514,true,0,0,0
"true","[F]",1.62,0.0,1.611,0.001,1.609,1.614,false,0.009,0.006,0
"true","[G]",1.71,0.0,1.708,0.001,1.707,1.71,true,0.002,0.001,0
"true","[H]",1.81,0.0,1.811,0.002,1.808,1.814,true,0.001,0.001,0
"true","[I]",1.92,0.0,1.909,0.003,1.905,1.913,false,0.011,0.006,0
"true","[J]",1.01,0.0,1.007,0.001,1.005,1.008,false,0.003,0.003,0
"true","[A, B]",6.32,0.0,6.318,0.003,6.313,6.323,true,0.002,0,0
"true","[A, C]",7.43,0.0,7.42,0.002,7.416,7.423,false,0.01,0.001,0
"true","[A, D]",3.52,0.0,3.514,0.002,3.51,3.518,false,0.006,0.002,0
"true","[B, C]",1.53,0.0,1.512,0.002,1.509,1.515,false,0.018,0.012,0
"true","[A, E]",3.63,0.0,3.617,0.002,3.613,3.62,false,0.013,0.004,0
"true","[B, D]",1.62,0.0,1.614,0.001,1.612,1.616,false,0.006,0.004,0
"true","[A, F]",3.73,0.0,3.715,0.002,3.711,3.718,false,0.015,0.004,0
"true","[B, E]",1.72,0.0,1.714,0.003,1.709,1.719,false,0.006,0.004,0
"true","[C, D]",1.72,0.0,1.712,0.002,1.708,1.715,false,0.008,0.005,0
"true","[A, G]",3.82,0.0,3.817,0.005,3.809,3.824,true,0.003,0.001,0
"true","[C, E]",1.81,0.0,1.813,0.002,1.81,1.815,true,0.003,0.002,0
"true","[B, F]",1.82,0.0,1.811,0.001,1.809,1.813,false,0.009,0.005,0
"true","[A, H]",3.92,0.0,3.918,0.003,3.913,3.923,true,0.002,0.001,0
"true","[B, G]",1.92,0.0,1.913,0.003,1.908,1.917,false,0.007,0.004,0
"true","[D, E]",1.91,0.0,1.913,0.002,1.91,1.916,true,0.003,0.002,0
"true","[C, F]",1.92,0.0,1.911,0.002,1.908,1.914,false,0.009,0.005,0
"true","[B, H]",2.02,0.0,2.013,0.001,2.012,2.014,false,0.007,0.003,0
