RAM_BUFFER_SIZE_MB,MERGE_POLICY,MERGE_SCHEDULER,COMMIT_ON_CLOSE,CHECK_PENDING_FLUSH_UPDATE,READER_POOLING,MAX_BUFFERED_DOCS,CODEC,USE_COMPOUND_FILE,INDEX_DELETION_POLICY,MAX_TOKEN_LENGTH,MAX_CFS_SEGMENT_SIZE_MB,NO_CFS_RATIO,INDEX_COMMIT,MERGED_SEGMENT_WARMER,RAM_PER_THREAD_HARD_LIMIT,SIMILARITY,time
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.796
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30.555
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30.505
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.765
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,33.849
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30.371
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30.552
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30.551
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.919
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.548
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30.772
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.235
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30.458
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.784
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.547
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.577
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.853
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.326
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30.509
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.699
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.778
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30.987
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.989
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.427
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,31.055
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.257
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.156
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,30.454
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.584
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,30.828
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.225
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.547
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,30.515
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.605
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,31.088
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.111
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30.548
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30.407
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,30.456
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,30.71
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30.787
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.479
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.549
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.666
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,30.461
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,34.497
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.618
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30.591
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30.903
