RAM_BUFFER_SIZE_MB,MERGE_POLICY,MERGE_SCHEDULER,COMMIT_ON_CLOSE,CHECK_PENDING_FLUSH_UPDATE,READER_POOLING,MAX_BUFFERED_DOCS,CODEC,USE_COMPOUND_FILE,INDEX_DELETION_POLICY,MAX_TOKEN_LENGTH,MAX_CFS_SEGMENT_SIZE_MB,NO_CFS_RATIO,INDEX_COMMIT,MERGED_SEGMENT_WARMER,RAM_PER_THREAD_HARD_LIMIT,SIMILARITY,time
1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,34.415
0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,31.145
0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,31.084
1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,34.606
0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,31
0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,31.008
0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,30.618
1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,24.334
1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,30.942
0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,34.468
0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,30.586
1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,24.249
0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,34.782
1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,34.543
1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,31.032
1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,30.967
1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,31.222
0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,34.793
0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,34.79
1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,24.168
1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,34.583
0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,31.337
0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,30.708
0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,34.442
1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,34.071
1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,34.813
1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,34.739
0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,34.656
1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,34.345
0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,30.857
1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,24.347
0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,34.319
0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,34.251
0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,34.829
1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,34.232
0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,30.642
1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,24.267
1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,34.483
0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,30.479
1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,31.287
1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,34.684
1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,24.078
1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,31.014
0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,34.501
0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,34.417
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,24.363
0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,34.791
1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,34.801
0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,31.15
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,30.854
