DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,10.865
1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,6.666
0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,11.783
1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,7.749
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,11.741
1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,4.869
1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,6.721
1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,23.272
0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,18.729
0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,11.729
1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,6.561
1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,8.03
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,11.673
0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,10.318
0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,9.99
1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,6.79
1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,23.267
1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,6.535
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,4.744
1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,8.047
0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,23.306
1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,4.824
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,10.254
0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,10.413
1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,14.867
1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,4.326
1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,8.091
0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,10.287
1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,6.74
1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,14.991
1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,21.43
1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,6.469
1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,7.866
1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,6.964
1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,4.862
1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,6.766
1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,5.442
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,5.244
0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,11.246
1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,23.37
0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,11.874
0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,9.973
1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,21.379
0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,10.398
1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,6.593
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,15.049
1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,5.373
1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,14.887
1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,6.721
0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,9.95
