measured,configuration,performance,std,minci,maxci
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",50.432,1.951,45.585,55.278
true,"[EMPTY, BASE]",11.137,0.048,11.017,11.258
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",52.423,0.361,51.526,53.32
true,"[EXECUTIVEFLOOR, EMPTY, BASE]",27.947,1.545,24.11,31.785
true,"[OVERLOADED, WEIGHT, TWOTHIRDSFULL, BASE]",23.539,0.304,22.783,24.294
true,"[BASE]",0.012,0,0.011,0.013
true,"[OVERLOADED, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",34.797,0.056,34.657,34.937
true,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, BASE]",49.878,0.258,49.237,50.518
true,"[WEIGHT, EMPTY, BASE]",31.608,0.651,29.99,33.226
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",39.671,1.63,35.623,43.72
true,"[EXECUTIVEFLOOR, WEIGHT, BASE]",38.701,0.442,37.602,39.8
true,"[EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",49.872,0.313,49.094,50.65
true,"[OVERLOADED, WEIGHT, BASE]",23.701,0.037,23.608,23.794
true,"[OVERLOADED, WEIGHT, EMPTY, BASE]",34.472,0.72,32.684,36.259
true,"[WEIGHT, TWOTHIRDSFULL, BASE]",20.834,0.298,20.094,21.574
true,"[WEIGHT, BASE]",21.178,0.034,21.094,21.262
true,"[EXECUTIVEFLOOR, BASE]",17.418,0.307,16.655,18.181
true,"[EXECUTIVEFLOOR, WEIGHT, TWOTHIRDSFULL, BASE]",38.704,0.37,37.784,39.623
true,"[WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",32.208,0.056,32.07,32.346
true,"[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, BASE]",41.027,0.297,40.29,41.764
