measured,configuration,ap1,ap2,absolute error,relative % error,squared error
"TODO","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.538,5.843,0.305,5.22,0.093
"TODO","[]",5.5440000000000005,6.162,0.618,10.029,0.382
"TODO","[FREQTHRESHOLD, TIMEOUT]",5.613,5.785,0.172,2.973,0.03
"TODO","[FREQTHRESHOLD]",5.5440000000000005,5.534,0.01,0.181,0
"TODO","[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD]",5.613,5.529,0.084,1.519,0.007
"TODO","[TIMEOUT, LOGLEVEL, MINALPHA]",5.538,5.606,0.068,1.213,0.005
"TODO","[TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.538,5.663,0.125,2.207,0.016
"TODO","[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.538,5.615,0.077,1.371,0.006
"TODO","[DISTTHRESHOLD]",5.545,5.759,0.214,3.716,0.046
"TODO","[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.572,5.569,0.003,0.054,0
"TODO","[TIMEOUT, DISTTHRESHOLD]",5.613,5.579,0.034,0.609,0.001
"TODO","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.572,5.562,0.01,0.18,0
"TODO","[DISTTHRESHOLD, MINALPHA]",5.569,5.567,0.002,0.036,0
"TODO","[FREQTHRESHOLD, MINALPHA]",5.5680000000000005,5.64,0.072,1.277,0.005
"TODO","[TIMEOUT, LOGLEVEL]",5.617000000000001,5.69,0.073,1.283,0.005
"TODO","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.548,5.693,0.145,2.547,0.021
"TODO","[LOGLEVEL, MINALPHA]",5.571000000000001,5.587,0.016,0.286,0
"TODO","[LOGLEVEL]",5.547,5.631,0.084,1.492,0.007
"TODO","[TIMEOUT, MINALPHA]",5.534000000000001,5.557,0.023,0.414,0.001
"TODO","[FREQTHRESHOLD, LOGLEVEL]",5.547,5.548,0.001,0.018,0
"TODO","[TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.617000000000001,5.649,0.032,0.566,0.001
"TODO","[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.534000000000001,5.576,0.042,0.753,0.002
"TODO","[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.617000000000001,5.581,0.036,0.645,0.001
"TODO","[DISTTHRESHOLD, LOGLEVEL]",5.548,5.661,0.113,1.996,0.013
"TODO","[TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.534000000000001,5.639,0.105,1.862,0.011
"TODO","[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.569,5.606,0.037,0.66,0.001
"TODO","[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.534000000000001,5.627,0.093,1.653,0.009
"TODO","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.617000000000001,5.58,0.037,0.663,0.001
"TODO","[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.571000000000001,5.603,0.032,0.571,0.001
"TODO","[TIMEOUT]",5.613,5.51,0.103,1.869,0.011
"TODO","[FREQTHRESHOLD, DISTTHRESHOLD]",5.545,5.695,0.15,2.634,0.023
"TODO","[MINALPHA]",5.5680000000000005,5.623,0.055,0.978,0.003

MSE: 0
RMSE: 0.01
