measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.54,0.0,5.404,0.078,5.279,5.528,false,0.136,0.025,0.018
"true","[]",5.471,0.0,5.462,0.161,5.205,5.718,true,0.009,0.002,0
"false","[FREQTHRESHOLD, TIMEOUT]",5.38,0.0,5.463,0.071,5.349,5.576,true,0.083,0.015,0.007
"false","[FREQTHRESHOLD]",5.471,0.0,5.4,0.052,5.318,5.482,true,0.071,0.013,0.005
"false","[TIMEOUT, LOGLEVEL, MINALPHA]",5.54,0.0,5.505,0.084,5.371,5.638,true,0.035,0.006,0.001
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT]",5.38,0.0,5.482,0.188,5.183,5.781,true,0.102,0.019,0.01
"false","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.54,0.0,5.464,0.119,5.274,5.654,true,0.076,0.014,0.006
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.54,0.0,5.403,0.031,5.354,5.452,false,0.137,0.025,0.019
"false","[DISTTHRESHOLD]",5.471,0.0,5.501,0.056,5.412,5.589,true,0.03,0.005,0.001
"false","[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.485,0.0,5.462,0.177,5.18,5.743,true,0.023,0.004,0.001
"true","[DISTTHRESHOLD, TIMEOUT]",5.38,0.0,5.4,0.043,5.333,5.468,true,0.02,0.004,0
"true","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.485,0.0,5.491,0.158,5.24,5.743,true,0.006,0.001,0
"false","[DISTTHRESHOLD, MINALPHA]",5.459,0.0,5.468,0.148,5.231,5.704,true,0.009,0.002,0
"false","[FREQTHRESHOLD, MINALPHA]",5.459,0.0,5.485,0.063,5.384,5.585,true,0.026,0.005,0.001
"false","[TIMEOUT, LOGLEVEL]",5.406,0.0,5.441,0.04,5.378,5.505,true,0.035,0.006,0.001
"false","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.497,0.0,5.382,0.13,5.174,5.589,true,0.115,0.021,0.013
"false","[LOGLEVEL, MINALPHA]",5.485,0.0,5.408,0.134,5.194,5.621,true,0.077,0.014,0.006
"false","[LOGLEVEL]",5.497,0.0,5.442,0.127,5.24,5.645,true,0.055,0.01,0.003
"false","[TIMEOUT, MINALPHA]",5.514,0.0,5.412,0.13,5.206,5.618,true,0.102,0.019,0.01
"false","[DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.406,0.0,5.461,0.172,5.188,5.734,true,0.055,0.01,0.003
"false","[FREQTHRESHOLD, LOGLEVEL]",5.497,0.0,5.447,0.107,5.277,5.618,true,0.05,0.009,0.002
"false","[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.514,0.0,5.461,0.139,5.24,5.682,true,0.053,0.01,0.003
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, LOGLEVEL]",5.406,0.0,5.415,0.109,5.241,5.589,true,0.009,0.002,0
"false","[DISTTHRESHOLD, LOGLEVEL]",5.497,0.0,5.452,0.171,5.18,5.724,true,0.045,0.008,0.002
"false","[DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.514,0.0,5.403,0.114,5.221,5.585,true,0.111,0.021,0.012
"false","[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.459,0.0,5.528,0.136,5.311,5.745,true,0.069,0.012,0.005
"false","[FREQTHRESHOLD, DISTTHRESHOLD, TIMEOUT, MINALPHA]",5.514,0.0,5.512,0.16,5.258,5.766,true,0.002,0,0
"false","[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.485,0.0,5.587,0.023,5.551,5.624,false,0.102,0.018,0.01
"false","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.406,0.0,5.363,0.03,5.316,5.41,true,0.043,0.008,0.002
"false","[TIMEOUT]",5.38,0.0,5.442,0.035,5.386,5.498,false,0.062,0.011,0.004
"false","[FREQTHRESHOLD, DISTTHRESHOLD]",5.471,0.0,5.47,0.095,5.32,5.621,true,0.001,0,0
"false","[MINALPHA]",5.459,0.0,5.355,0.046,5.282,5.428,false,0.104,0.019,0.011

Total: 32
MSE: 0.005
RMSE: 0.07
MAPE: 1.065
Measured within ci: 0
Measured outside ci: 0
Predicted within ci: 0
Predicted outside ci: 0
Valid configs: 32.0
