measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[]",5.348,0.0,5.401,0.14,0.053,0.01,0.003
"false","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL, MINALPHA]",5.403,0.0,5.317,0.068,0.086,0.016,0.007
"false","[FREQTHRESHOLD, TIMEOUT]",5.347,0.0,5.453,0.062,0.106,0.019,0.011
"false","[FREQTHRESHOLD]",5.348,0.0,5.419,0.045,0.071,0.013,0.005
"true","[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD]",5.398,0.0,5.394,0.163,0.004,0.001,0
"true","[TIMEOUT, LOGLEVEL, MINALPHA]",5.403,0.0,5.571,0.073,0.168,0.03,0.028
"true","[TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.671,0.0,5.296,0.103,0.375,0.071,0.141
"true","[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.536,0.0,5.385,0.027,0.151,0.028,0.023
"true","[DISTTHRESHOLD]",5.429,0.0,5.456,0.048,0.027,0.005,0.001
"true","[DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.388,0.0,5.46,0.153,0.072,0.013,0.005
"true","[TIMEOUT, DISTTHRESHOLD]",5.493,0.0,5.337,0.037,0.156,0.029,0.024
"true","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL, MINALPHA]",5.427,0.0,5.358,0.137,0.069,0.013,0.005
"true","[DISTTHRESHOLD, MINALPHA]",5.333,0.0,5.37,0.129,0.037,0.007,0.001
"false","[FREQTHRESHOLD, MINALPHA]",5.524,0.0,5.397,0.055,0.127,0.024,0.016
"true","[FREQTHRESHOLD, DISTTHRESHOLD, LOGLEVEL]",5.495,0.0,5.255,0.113,0.24,0.046,0.058
"true","[TIMEOUT, LOGLEVEL]",5.328,0.0,5.453,0.035,0.125,0.023,0.016
"true","[LOGLEVEL, MINALPHA]",5.371,0.0,5.24,0.116,0.131,0.025,0.017
"true","[LOGLEVEL]",5.378,0.0,5.273,0.11,0.105,0.02,0.011
"true","[TIMEOUT, MINALPHA]",5.406,0.0,5.262,0.112,0.144,0.027,0.021
"true","[TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.527,0.0,5.525,0.149,0.002,0,0
"false","[FREQTHRESHOLD, LOGLEVEL]",5.378,0.0,5.3,0.093,0.078,0.015,0.006
"false","[FREQTHRESHOLD, TIMEOUT, MINALPHA]",5.406,0.0,5.326,0.12,0.08,0.015,0.006
"true","[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, LOGLEVEL]",5.492,0.0,5.283,0.095,0.209,0.04,0.044
"true","[DISTTHRESHOLD, LOGLEVEL]",5.524,0.0,5.375,0.148,0.149,0.028,0.022
"true","[TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.601,0.0,5.272,0.099,0.329,0.062,0.108
"true","[FREQTHRESHOLD, DISTTHRESHOLD, MINALPHA]",5.527,0.0,5.466,0.118,0.061,0.011,0.004
"true","[FREQTHRESHOLD, TIMEOUT, DISTTHRESHOLD, MINALPHA]",5.502,0.0,5.562,0.138,0.06,0.011,0.004
"false","[FREQTHRESHOLD, TIMEOUT, LOGLEVEL]",5.328,0.0,5.406,0.026,0.078,0.014,0.006
"false","[FREQTHRESHOLD, LOGLEVEL, MINALPHA]",5.371,0.0,5.62,0.02,0.249,0.044,0.062
"true","[TIMEOUT]",5.347,0.0,5.451,0.031,0.104,0.019,0.011
"true","[FREQTHRESHOLD, DISTTHRESHOLD]",5.374,0.0,5.497,0.082,0.123,0.022,0.015
"true","[MINALPHA]",5.524,0.0,5.294,0.04,0.23,0.043,0.053

MSE: 0.015
RMSE: 0.123
MAPE: 2.009
