BASE,KEYS,ENCRYPT,AUTORESPONDER,ADDRESSBOOK,SIGN,FORWARD,VERIFY,DECRYPT,time
1,0,0,1,0,0,1,0,0,20.982
1,1,0,0,0,0,0,0,0,4.212
1,0,0,1,1,0,0,0,0,8.812
1,0,0,0,0,0,0,0,0,0.008
1,1,0,0,0,0,1,0,0,15.838
1,0,0,1,0,0,0,0,0,5.524
1,0,0,0,0,0,1,0,0,11.596
1,1,0,1,0,0,0,0,0,9.757
1,0,0,0,1,0,1,0,0,15.815
1,1,0,0,1,0,0,0,0,6.323
1,0,0,0,1,0,0,0,0,2.126
