BASE,KEYS,ENCRYPT,AUTORESPONDER,ADDRESSBOOK,SIGN,FORWARD,VERIFY,DECRYPT,time
1,0,0,0,0,0,1,0,0,11.596
1,1,0,0,0,0,0,0,0,4.212
1,0,0,0,1,0,0,0,0,2.126
1,0,0,1,0,0,0,0,0,5.524
