FREQTHRESHOLD,TIMEOUT,DISTTHRESHOLD,LOGLEVEL,MINALPHA,time
0,1,0,0,0,5.595
0,1,0,0,1,5.79
0,0,1,0,0,6.026
0,0,1,0,1,5.874
1,1,0,0,0,5.885
1,0,1,0,0,5.649
0,0,0,1,1,5.88
0,0,0,1,0,5.887
0,1,0,1,0,5.828
0,0,0,0,1,5.707
0,0,0,0,0,5.726
0,0,1,1,0,5.817
1,0,0,0,1,5.751
1,0,0,1,0,5.717
0,1,1,0,0,5.627
1,0,0,0,0,5.989
