measured,configuration,performance,std,minci,maxci
true,"[ISTIMEACCESS, ISIGNORECASE, ISTIMECREATE, ISTYPEOTHER, ISTYPESYMLINK]",7.794,12.868,-12.681,28.27
true,"[ISREGEX, ISTIMEACCESS, ISTIMECREATE, ISTIMEMODIFIED, ISPRINT0, ISTYPEDIRECTORY, ISTIMENEWER, ISTYPEFILE]",4.376,7.411,-7.416,16.169
true,"[ISIGNORECASE, ISTIMECREATE, ISTYPEOTHER, ISTIMEMODIFIED, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTIMENEWER, ISTYPEFILE]",0.794,0.015,0.77,0.818
true,"[ISTIMEACCESS, ISTIMEOLDER, ISTIMECREATE, ISTYPEOTHER, ISPRINT0, ISTYPEDIRECTORY, ISTIMENEWER, ISTYPEFILE]",0.568,0.036,0.512,0.625
true,"[ISREGEX, ISTIMEACCESS, ISTIMECREATE, ISTYPESYMLINK, ISTIMENEWER, ISTYPEFILE]",10.897,12.574,-9.111,30.905
true,"[ISTIMEOLDER, ISTIMEMODIFIED, ISTYPESYMLINK, ISTYPEFILE]",3.782,6.287,-6.223,13.787
true,"[ISREGEX, ISTIMECREATE, ISTYPEOTHER, ISPRINT0]",3.255,3.989,-3.093,9.603
true,"[ISTIMEACCESS, ISTIMEOLDER, ISTIMECREATE, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTYPEFILE]",0.569,0.016,0.544,0.594
true,"[ISTIMEOLDER, ISIGNORECASE, ISTIMECREATE, ISTIMEMODIFIED, ISTYPEDIRECTORY, ISTYPESYMLINK]",7.424,13.105,-13.429,28.276
true,"[ISTIMECREATE, ISTYPEOTHER, ISTYPESYMLINK, ISTYPEFILE]",10.412,12.513,-9.499,30.322
true,"[ISIGNORECASE, ISTIMECREATE, ISTYPEOTHER, ISTIMEMODIFIED, ISTYPEDIRECTORY, ISTYPEFILE]",0.779,0.016,0.753,0.805
true,"[ISTIMEACCESS, ISTIMEOLDER, ISIGNORECASE, ISTYPEOTHER, ISPRINT0, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTIMENEWER]",0.797,0.005,0.789,0.805
true,"[ISREGEX, ISIGNORECASE, ISTIMECREATE, ISTIMEMODIFIED, ISPRINT0, ISTYPESYMLINK, ISTIMENEWER]",4.208,7.152,-7.172,15.589
true,"[ISIGNORECASE, ISTIMECREATE, ISPRINT0, ISTYPEDIRECTORY]",11.142,12.764,-9.168,31.451
true,"[ISREGEX, ISIGNORECASE, ISTYPEOTHER]",0.918,0.547,0.047,1.789
