A,B,C,D,E,F,G,H,I,J,time
0,0,0,0,0,0,0,0,0,1,1.009
1,0,0,0,0,0,0,0,0,0,3.124
0,0,0,0,0,0,0,1,0,0,1.809
0,0,1,0,0,0,0,0,0,0,1.323
0,0,0,1,0,0,0,0,0,0,1.413
0,1,0,0,0,0,0,0,0,0,1.213
0,0,0,0,0,1,0,0,0,0,1.612
0,0,0,0,0,0,1,0,0,0,1.709
0,0,0,0,1,0,0,0,0,0,1.506
0,0,0,0,0,0,0,0,1,0,1.918
