measured,configuration,performance,std,minci,maxci
true,"[POSTCONVERTWEBP, SKIPEXISTINGFILES, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, ENABLEANTIALIASING, VERSION, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",0.022,0.001,0.021,0.022
true,"[IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",56.863,0.947,55.357,58.37
true,"[SKIPEXISTINGFILES, SKIPUPSCALING]",2.291,0.019,2.261,2.321
true,"[ENABLEPNGCRUSH, SCALE]",7.375,0.08,7.246,7.503
true,"[POSTCONVERTWEBP, SKIPEXISTINGFILES, ENABLEMOZJPEG, GUIADVANCEDOPTIONS, PLATFORM, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",13.194,0.089,13.052,13.337
true,"[SCALEISHEIGHTDP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, DRYRUN, SCALEMODE, HALTONERROR, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",2.404,0.013,2.384,2.425
true,"[SCALEMODE]",2.294,0.019,2.263,2.325
true,"[HELP, SKIPEXISTINGFILES, HALTONERROR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, VERSION, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.074,0.004,0.068,0.081
true,"[CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",211.001,1.517,208.587,213.416
true,"[POSTCONVERTWEBP, HELP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, DRYRUN, VERBOSELOG, HALTONERROR, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.076,0.004,0.07,0.082
true,"[PLATFORM, OUTPUTCOMPRESSIONGMODE, SCALEMODE, SCALE]",13.154,0.17,12.883,13.425
true,"[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SCALEMODE, SCALE]",4.013,0.092,3.866,4.159
true,"[POSTCONVERTWEBP, HELP, SKIPEXISTINGFILES, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, VERSION, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.074,0.008,0.062,0.087
true,"[HELP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEMOZJPEG, VERSION, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",0.076,0.004,0.07,0.082
true,"[POSTCONVERTWEBP, UPSCALINGALGORITHM, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",46.422,0.3,45.944,46.899
true,"[DRYRUN]",2.278,0.014,2.256,2.3
true,"[OUTPUTCOMPRESSIONGMODE, SCALE]",17.962,0.071,17.849,18.074
true,"[PLATFORM, DRYRUN]",3.81,0.028,3.765,3.855
true,"[POSTCONVERTWEBP, HELP, SKIPEXISTINGFILES, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, DRYRUN, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, CLEARDIRBEFORECONVERT]",0.07,0.005,0.062,0.077
true,"[SKIPEXISTINGFILES, ENABLEPNGCRUSH]",2.299,0.012,2.28,2.318
true,"[HELP, SKIPEXISTINGFILES, ENABLEMOZJPEG, HALTONERROR, SCALEISHEIGHTDP, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, VERBOSELOG, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.074,0.005,0.066,0.082
