measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[KEYS, BASE, ADDRESSBOOK]",6.323,0,6.34,0.016,6.314,6.365,true,0.017,0.003,0
"true","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",50.381,0,50.429,0.087,50.291,50.566,true,0.048,0.001,0.002
"true","[KEYS, BASE]",4.212,0,4.209,0.056,4.12,4.298,true,0.003,0.001,0
"true","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",48.239,0,48.317,0.061,48.219,48.414,true,0.078,0.002,0.006
"true","[DECRYPT, KEYS, ENCRYPT, BASE]",16.066,0,15.985,0.032,15.934,16.036,false,0.081,0.005,0.007
"true","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",56.883,0,56.396,0.862,55.025,57.767,true,0.487,0.009,0.237
"true","[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",26.19,0,26.075,0.419,25.407,26.742,true,0.115,0.004,0.013
"true","[FORWARD, AUTORESPONDER, BASE]",20.982,0,20.925,0.035,20.869,20.981,false,0.057,0.003,0.003
"true","[BASE]",0.008,0,0.008,0.002,0.005,0.01,true,0,0,0
"true","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",32.024,0,31.683,0.529,30.841,32.525,true,0.341,0.011,0.116
"true","[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",27.222,0,27.279,0.06,27.184,27.374,true,0.057,0.002,0.003
"true","[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",30.479,0,30.469,0.062,30.37,30.568,true,0.01,0,0
"true","[KEYS, FORWARD, BASE, ADDRESSBOOK]",20.073,0,19.923,0.204,19.599,20.247,true,0.15,0.008,0.023
"true","[KEYS, FORWARD, AUTORESPONDER, BASE]",25.116,0,24.933,0.326,24.414,25.452,true,0.183,0.007,0.033
"true","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",41.876,0,41.85,0.096,41.698,42.002,true,0.026,0.001,0.001
"true","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",55.993,0,56.1,0.044,56.029,56.17,false,0.107,0.002,0.011
"true","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",16.969,0,16.982,0.028,16.937,17.027,true,0.013,0.001,0
"true","[KEYS, FORWARD, BASE]",15.838,0,15.834,0.041,15.768,15.899,true,0.004,0,0
"true","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",21.346,0,21.337,0.038,21.276,21.398,true,0.009,0,0
"true","[KEYS, AUTORESPONDER, BASE]",9.757,0,9.768,0.026,9.727,9.809,true,0.011,0.001,0
"true","[FORWARD, BASE, ADDRESSBOOK]",15.815,0,15.817,0.063,15.717,15.917,true,0.002,0,0
"true","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",65.552,0,65.384,0.63,64.382,66.386,true,0.168,0.003,0.028
"true","[KEYS, VERIFY, SIGN, BASE, ADDRESSBOOK]",13.003,0,13.022,0.012,13.002,13.041,true,0.019,0.001,0
"true","[KEYS, VERIFY, SIGN, BASE]",9.778,0,9.769,0.042,9.703,9.835,true,0.009,0.001,0
"true","[KEYS, AUTORESPONDER, BASE, ADDRESSBOOK]",13.06,0,12.971,0.044,12.901,13.041,false,0.089,0.007,0.008
"true","[KEYS, FORWARD, VERIFY, SIGN, BASE]",21.923,0,21.792,0.3,21.314,22.27,true,0.131,0.006,0.017
"true","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",39.455,0,39.506,0.048,39.43,39.582,true,0.051,0.001,0.003
"true","[BASE, ADDRESSBOOK]",2.126,0,2.109,0.008,2.097,2.121,false,0.017,0.008,0
"true","[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",27.961,0,27.772,0.396,27.142,28.401,true,0.189,0.007,0.036
"true","[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE]",35.806,0,35.734,0.046,35.661,35.808,true,0.072,0.002,0.005
"true","[AUTORESPONDER, BASE]",5.524,0,5.558,0.042,5.492,5.625,true,0.034,0.006,0.001
"true","[DECRYPT, KEYS, ENCRYPT, BASE, ADDRESSBOOK]",21.299,0,21.337,0.108,21.165,21.509,true,0.038,0.002,0.001
"true","[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE]",21.591,0,21.533,0.036,21.476,21.591,true,0.058,0.003,0.003
"true","[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",39.416,0,39.358,0.034,39.304,39.412,false,0.058,0.001,0.003
"true","[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE, ADDRESSBOOK]",43.209,0,43.139,0.067,43.032,43.245,true,0.07,0.002,0.005
"true","[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE]",32.94,0,32.89,0.07,32.778,33.002,true,0.05,0.002,0.002
"true","[FORWARD, BASE]",11.596,0,11.585,0.028,11.54,11.63,true,0.011,0.001,0
"true","[AUTORESPONDER, BASE, ADDRESSBOOK]",8.812,0,8.701,0.157,8.451,8.952,true,0.111,0.013,0.012
"true","[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE]",24.821,0,24.743,0.05,24.664,24.823,true,0.078,0.003,0.006
"true","[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",31.138,0,30.887,0.478,30.126,31.647,true,0.251,0.008,0.063

Total: 40
MSE: 0.017
RMSE: 0.129
MAPE: 0.349
Measured within ci: 0
Measured outside ci: 0
Predicted within ci: 0
Predicted outside ci: 0
Valid configs: 39.0
