measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[KEYS, BASE, ADDRESSBOOK]",0.0,0.0,6.34,0.016,6.314,6.365,false,6.34,1,40.196
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",0.0,0.0,50.429,0.087,50.291,50.566,false,50.429,1,2543.084
"true","[KEYS, BASE]",0.0,0.0,4.209,0.056,4.12,4.298,false,4.209,1,17.716
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE]",0.0,0.0,48.317,0.061,48.219,48.414,false,48.317,1,2334.532
"false","[DECRYPT, KEYS, ENCRYPT, BASE]",0.0,0.0,15.985,0.032,15.934,16.036,false,15.985,1,255.52
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, AUTORESPONDER, BASE, ADDRESSBOOK]",0.0,0.0,56.396,0.862,55.025,57.767,false,56.396,1,3180.509
"false","[FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",0.0,0.0,26.075,0.419,25.407,26.742,false,26.075,1,679.906
"false","[FORWARD, AUTORESPONDER, BASE]",0.0,0.0,20.925,0.035,20.869,20.981,false,20.925,1,437.856
"false","[BASE]",0.0,0.0,0.008,0.002,0.005,0.01,false,0.008,1,0
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",0.0,0.0,31.683,0.529,30.841,32.525,false,31.683,1,1003.812
"false","[KEYS, FORWARD, VERIFY, SIGN, BASE, ADDRESSBOOK]",0.0,0.0,27.279,0.06,27.184,27.374,false,27.279,1,744.144
"false","[KEYS, FORWARD, AUTORESPONDER, BASE, ADDRESSBOOK]",0.0,0.0,30.469,0.062,30.37,30.568,false,30.469,1,928.36
"false","[KEYS, FORWARD, BASE, ADDRESSBOOK]",0.0,0.0,19.923,0.204,19.599,20.247,false,19.923,1,396.926
"false","[KEYS, FORWARD, AUTORESPONDER, BASE]",0.0,0.0,24.933,0.326,24.414,25.452,false,24.933,1,621.654
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, SIGN, BASE]",0.0,0.0,41.85,0.096,41.698,42.002,false,41.85,1,1751.423
"false","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE]",0.0,0.0,56.1,0.044,56.029,56.17,false,56.1,1,3147.21
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE]",0.0,0.0,16.982,0.028,16.937,17.027,false,16.982,1,288.388
"false","[KEYS, FORWARD, BASE]",0.0,0.0,15.834,0.041,15.768,15.899,false,15.834,1,250.716
"false","[KEYS, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",0.0,0.0,21.337,0.038,21.276,21.398,false,21.337,1,455.268
"false","[KEYS, AUTORESPONDER, BASE]",0.0,0.0,9.768,0.026,9.727,9.809,false,9.768,1,95.414
