measured,configuration,family,family_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[KEYS, AUTORESPONDER, BASE]",9.593,0.0,9.768,0.026,9.727,9.809,false,0.175,0.018,0.031
"false","[FORWARD, BASE, ADDRESSBOOK]",15.638,0.0,15.817,0.063,15.717,15.917,false,0.179,0.011,0.032
"true","[DECRYPT, KEYS, FORWARD, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",64.225,0.0,65.384,0.63,64.382,66.386,false,1.159,0.018,1.343
"false","[KEYS, VERIFY, SIGN, BASE, ADDRESSBOOK]",12.755,0.0,13.022,0.012,13.002,13.041,false,0.267,0.021,0.071
"false","[KEYS, VERIFY, SIGN, BASE]",9.592,0.0,9.769,0.042,9.703,9.835,false,0.177,0.018,0.031
"false","[KEYS, AUTORESPONDER, BASE, ADDRESSBOOK]",12.76,0.0,12.971,0.044,12.901,13.041,false,0.211,0.016,0.045
"false","[KEYS, FORWARD, VERIFY, SIGN, BASE]",21.523,0.0,21.792,0.3,21.314,22.27,true,0.269,0.012,0.072
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",38.603,0.0,39.506,0.048,39.43,39.582,false,0.903,0.023,0.815
"false","[BASE, ADDRESSBOOK]",2.17,0.0,2.109,0.008,2.097,2.121,false,0.061,0.029,0.004
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE, ADDRESSBOOK]",27.415,0.0,27.772,0.396,27.142,28.401,true,0.357,0.013,0.127
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE]",35.08,0.0,35.734,0.046,35.661,35.808,false,0.654,0.018,0.428
"false","[AUTORESPONDER, BASE]",5.445,0.0,5.558,0.042,5.492,5.625,false,0.113,0.02,0.013
"false","[DECRYPT, KEYS, ENCRYPT, BASE, ADDRESSBOOK]",20.978,0.0,21.337,0.108,21.165,21.509,false,0.359,0.017,0.129
"false","[DECRYPT, KEYS, VERIFY, ENCRYPT, SIGN, BASE]",21.105,0.0,21.533,0.036,21.476,21.591,false,0.428,0.02,0.183
"false","[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE, ADDRESSBOOK]",38.483,0.0,39.358,0.034,39.304,39.412,false,0.875,0.022,0.766
"false","[DECRYPT, KEYS, FORWARD, ENCRYPT, BASE, ADDRESSBOOK]",42.388,0.0,43.139,0.067,43.032,43.245,false,0.751,0.017,0.564
"false","[KEYS, FORWARD, VERIFY, AUTORESPONDER, SIGN, BASE]",32.172,0.0,32.89,0.07,32.778,33.002,false,0.718,0.022,0.516
"false","[FORWARD, BASE]",11.478,0.0,11.585,0.028,11.54,11.63,false,0.107,0.009,0.011
"false","[AUTORESPONDER, BASE, ADDRESSBOOK]",8.613,0.0,8.701,0.157,8.451,8.952,true,0.088,0.01,0.008
"false","[DECRYPT, KEYS, ENCRYPT, AUTORESPONDER, BASE]",24.245,0.0,24.743,0.05,24.664,24.823,false,0.498,0.02,0.248
