measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, SCALEMODE, GUIADVANCEDOPTIONS]",8.17,0.0,4.568,0.007,4.557,4.579,false,5.102,1.117,26.03
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY]",83.15,0.0,85.175,0.687,84.082,86.268,true,0.525,0.006,0.276
"false","[ENABLEPNGCRUSH, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, ROUNDINGHANDLER, HALTONERROR, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",74.52,0.0,75.473,0.561,74.581,76.366,true,0.547,0.007,0.299
"true","[DOWNSCALINGALGORITHM, ENABLEANTIALIASING]",75.23,0.0,75.736,0.563,74.841,76.632,false,0.994,0.013,0.988
"false","[ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",3.28,0.0,5.233,0.006,5.223,5.243,false,0.453,0.087,0.205
"false","[PLATFORM, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",0.0,0.0,9.471,0.032,9.42,9.522,false,7.971,0.842,63.537
"true","[OUTPUTCOMPRESSIONGMODE, GUIADVANCEDOPTIONS]",183.4,0.0,182.48,0.921,181.015,183.945,false,2.42,0.013,5.856
"true","[SCALEISHEIGHTDP, VERBOSELOG]",57.67,0.0,57.885,0.714,56.748,59.022,false,1.285,0.022,1.651
"true","[INCLUDEANDROIDLDPITVDPI, OUTPUTCOMPRESSIONGMODE]",200.59,0.0,199.675,1.779,196.844,202.507,true,2.415,0.012,5.832
"true","[ENABLEMOZJPEG, DOWNSCALINGALGORITHM]",59.12,0.0,57.475,0.536,56.622,58.328,false,3.145,0.055,9.891
"true","[INCLUDEANDROIDLDPITVDPI, CLEARDIRBEFORECONVERT]",63.14,0.0,63.072,0.654,62.031,64.113,false,1.568,0.025,2.459
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, VERBOSELOG]",58.01,0.0,58.297,0.99,56.722,59.872,true,1.213,0.021,1.471
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, SCALE]",7.7,0.0,5.517,0.098,5.361,5.673,false,3.683,0.668,13.564
"false","[ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",178.98,0.0,177.867,1.058,176.184,179.55,false,2.613,0.015,6.828
"true","[DOWNSCALINGALGORITHM, SCALE]",6.12,0.0,6.12,0.011,6.102,6.138,false,1.5,0.245,2.25
"true","[ENABLEMOZJPEG, GUIADVANCEDOPTIONS]",57.67,0.0,57.393,0.694,56.289,58.498,false,1.777,0.031,3.158
"true","[PLATFORM, ROUNDINGHANDLER]",111.34,0.0,111.805,1.009,110.2,113.411,true,1.035,0.009,1.071
"true","[ENABLEMOZJPEG, HALTONERROR]",58.77,0.0,57.872,0.516,57.05,58.694,false,2.398,0.041,5.75
"true","[PLATFORM, SCALEISHEIGHTDP]",111.34,0.0,111.549,0.699,110.437,112.66,false,1.291,0.012,1.667
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY, SCALE]",1.06,0.0,16.294,0.219,15.945,16.642,false,13.734,0.843,188.623
"true","[INCLUDEANDROIDLDPITVDPI, ENABLEANTIALIASING]",82.07,0.0,81.495,0.596,80.547,82.443,false,2.075,0.025,4.306
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALEMODE]",0.0,0.0,3.8,0.011,3.784,3.817,false,2.3,0.605,5.29
"false","[PLATFORM, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,9.285,0.023,9.247,9.322,false,7.785,0.838,60.606
"true","[OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM]",182.32,0.0,182.289,1.735,179.528,185.049,true,1.531,0.008,2.344
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, VERBOSELOG, HALTONERROR, IOSCREATEIMAGESETFOLDERS]",56.85,0.0,52.379,0.549,51.506,53.252,false,5.971,0.114,35.653
"true","[ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",57.67,0.0,58.343,0.731,57.179,59.507,true,0.827,0.014,0.684
"true","[VERBOSELOG, CLEARDIRBEFORECONVERT]",57.67,0.0,57.493,0.374,56.899,58.088,false,1.677,0.029,2.812
"false","[UPSCALINGALGORITHM, CREATEMIPMAPINSTEADOFDRAWABLEDIR, VERBOSELOG]",49.03,0.0,48.209,0.104,48.044,48.373,false,2.321,0.048,5.387
"true","[POSTCONVERTWEBP, COMPRESSQUALITY]",54.93,0.0,55.196,1.144,53.376,57.016,true,1.234,0.022,1.523
"false","[ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,5.251,0.016,5.226,5.276,false,3.751,0.714,14.07
"true","[ENABLEANTIALIASING, SCALEMODE]",3.82,0.0,3.797,0.009,3.783,3.811,false,1.523,0.401,2.32
"false","[ENABLEPNGCRUSH, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",57.95,0.0,58.304,0.755,57.103,59.506,true,1.146,0.02,1.313
"true","[OUTPUTCOMPRESSIONGMODE, IOSCREATEIMAGESETFOLDERS]",183.4,0.0,182.563,0.425,181.887,183.24,false,2.337,0.013,5.462
"true","[ENABLEMOZJPEG, COMPRESSQUALITY]",54.59,0.0,55.804,1.045,54.141,57.466,true,0.286,0.005,0.082
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALE]",157.59,0.0,26.642,0.065,26.539,26.745,false,132.448,4.971,17542.473
"true","[PLATFORM, VERBOSELOG]",112.47,0.0,111.003,0.73,109.841,112.165,false,2.967,0.027,8.803
"true","[SCALEISHEIGHTDP, UPSCALINGALGORITHM]",47.97,0.0,47.946,0.619,46.961,48.931,false,1.524,0.032,2.323
"false","[ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, SCALE]",19.39,0.0,19.21,0.152,18.968,19.451,false,1.68,0.087,2.822
"false","[PLATFORM, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEMOZJPEG, HALTONERROR]",113.55,0.0,112.209,0.759,111.002,113.416,false,2.841,0.025,8.071
"false","[UPSCALINGALGORITHM, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALE]",18.71,0.0,5.844,0.018,5.815,5.872,false,14.366,2.458,206.382
"true","[COMPRESSQUALITY]",54.59,0.0,54.681,0.259,54.268,55.093,false,1.409,0.026,1.985
"true","[ENABLEPNGCRUSH, CLEARDIRBEFORECONVERT]",56.44,0.0,57.947,0.506,57.142,58.753,true,0.007,0,0
"true","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SCALEMODE]",3.75,0.0,3.784,0.023,3.748,3.821,false,1.466,0.387,2.149
"false","[UPSCALINGALGORITHM, SKIPUPSCALING, COMPRESSQUALITY]",4.7,0.0,4.706,0.011,4.688,4.724,false,1.494,0.317,2.232
"false","[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,9.928,0.057,9.837,10.019,false,8.428,0.849,71.031
