measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, SCALEMODE, GUIADVANCEDOPTIONS]",19.68,0.0,4.568,0.007,4.557,4.579,false,16.612,3.637,275.959
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY]",98.56,0.0,85.175,0.687,84.082,86.268,false,14.885,0.175,221.563
"false","[ENABLEPNGCRUSH, DOWNSCALINGALGORITHM, ENABLEANTIALIASING, ROUNDINGHANDLER, HALTONERROR, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",73.82,0.0,75.473,0.561,74.581,76.366,true,0.153,0.002,0.023
"false","[DOWNSCALINGALGORITHM, ENABLEANTIALIASING]",75.43,0.0,75.736,0.563,74.841,76.632,false,1.194,0.016,1.426
"false","[ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",124.62,0.0,5.233,0.006,5.223,5.243,false,120.887,23.101,14613.667
"false","[PLATFORM, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",126.5,0.0,9.471,0.032,9.42,9.522,false,118.529,12.515,14049.124
"false","[OUTPUTCOMPRESSIONGMODE, GUIADVANCEDOPTIONS]",182.26,0.0,182.48,0.921,181.015,183.945,true,1.28,0.007,1.638
"false","[SCALEISHEIGHTDP, VERBOSELOG]",56.96,0.0,57.885,0.714,56.748,59.022,true,0.575,0.01,0.331
"false","[INCLUDEANDROIDLDPITVDPI, OUTPUTCOMPRESSIONGMODE]",188.82,0.0,199.675,1.779,196.844,202.507,false,9.355,0.047,87.516
"false","[ENABLEMOZJPEG, DOWNSCALINGALGORITHM]",57.36,0.0,57.475,0.536,56.622,58.328,false,1.385,0.024,1.918
"false","[INCLUDEANDROIDLDPITVDPI, CLEARDIRBEFORECONVERT]",63.01,0.0,63.072,0.654,62.031,64.113,false,1.438,0.023,2.068
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, VERBOSELOG]",56.96,0.0,58.297,0.99,56.722,59.872,true,0.163,0.003,0.027
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,5.517,0.098,5.361,5.673,false,4.017,0.728,16.136
"false","[ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",178.67,0.0,177.867,1.058,176.184,179.55,false,2.303,0.013,5.304
"false","[DOWNSCALINGALGORITHM, SCALE]",8.93,0.0,6.12,0.011,6.102,6.138,false,4.31,0.704,18.576
"false","[ENABLEMOZJPEG, GUIADVANCEDOPTIONS]",56.73,0.0,57.393,0.694,56.289,58.498,true,0.837,0.015,0.701
"false","[PLATFORM, ROUNDINGHANDLER]",113.32,0.0,111.805,1.009,110.2,113.411,false,3.015,0.027,9.09
