measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[]",56.55,0.0,56.441,0.3,55.963,56.918,true,0.109,0.002,0.012
"false","[POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, SCALE, CLEARDIRBEFORECONVERT]",0.0,0.0,4.354,0.026,4.313,4.395,false,4.354,1,18.957
"false","[ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE]",183.77,0.0,182.36,1.262,180.351,184.368,true,1.41,0.008,1.988
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, HALTONERROR, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",72.28,0.0,74.483,0.54,73.624,75.343,false,2.203,0.03,4.853
"false","[POSTCONVERTWEBP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, HALTONERROR, CLEARDIRBEFORECONVERT]",43.84,0.0,3.869,0.01,3.853,3.885,false,39.971,10.331,1597.681
"false","[PLATFORM, POSTCONVERTWEBP, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, HALTONERROR, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",50.58,0.0,8.702,0.093,8.553,8.851,false,41.878,4.812,1753.767
"false","[SKIPUPSCALING, ROUNDINGHANDLER]",2.52,0.0,3.342,0.019,3.312,3.372,false,0.822,0.246,0.676
"false","[SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE]",131.21,0.0,7.638,0.035,7.583,7.693,false,123.572,16.179,15270.039
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, IOSCREATEIMAGESETFOLDERS]",0.0,0.0,2.301,0.008,2.289,2.313,false,2.301,1,5.295
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, VERBOSELOG, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS]",74.65,0.0,14.758,0.534,13.909,15.607,false,59.892,4.058,3587.052
"false","[PLATFORM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, SCALEMODE]",1.44,0.0,3.788,0.018,3.759,3.816,false,2.348,0.62,5.513
"false","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",122.46,0.0,7.801,0.037,7.742,7.859,false,114.659,14.698,13146.686
"false","[VERBOSELOG, ROUNDINGHANDLER]",55.08,0.0,56.662,0.909,55.215,58.109,false,1.582,0.028,2.503
"true","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR]",57.48,0.0,56.196,0.677,55.118,57.274,false,1.284,0.023,1.649
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",143.25,0.0,26.88,0.087,26.741,27.019,false,116.37,4.329,13541.977
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",137.18,0.0,38.18,0.325,37.662,38.697,false,99,2.593,9801
