measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[]",1.91,0.0,1.887,0.009,1.874,1.901,false,0.023,0.012,0.001
"false","[LOGLEVEL, COMPRESSIONLEVEL]",7.71,0.0,7.806,0.105,7.638,7.974,true,0.096,0.012,0.009
"false","[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",88.62,0.0,83.224,0.756,82.021,84.428,false,5.396,0.065,29.117
"false","[COMPRESSOR, LOGLEVEL]",82.82,0.0,82.874,1.74,80.105,85.643,true,0.054,0.001,0.003
"false","[COMPRESSOR, COMPRESSIONLEVEL]",88.62,0.0,83.567,1.249,81.58,85.554,false,5.053,0.06,25.533
"false","[ITERATIONS, REMOVEGAMMA]",1.91,0.0,1.884,0.005,1.877,1.891,false,0.026,0.014,0.001
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.71,0.0,7.811,0.215,7.469,8.154,true,0.101,0.013,0.01
"false","[ITERATIONS, LOGLEVEL]",1.91,0.0,1.909,0.007,1.897,1.921,true,0.001,0.001,0
"false","[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.71,0.0,7.784,0.076,7.662,7.905,true,0.074,0.01,0.005
"false","[ITERATIONS, COMPRESSIONLEVEL]",7.71,0.0,7.866,0.18,7.58,8.151,true,0.156,0.02,0.024
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",88.62,0.0,83.753,0.628,82.753,84.753,false,4.867,0.058,23.688
"false","[LOGLEVEL, REMOVEGAMMA]",1.91,0.0,1.908,0.007,1.897,1.918,true,0.002,0.001,0
"false","[COMPRESSIONLEVEL, REMOVEGAMMA]",7.71,0.0,7.836,0.084,7.703,7.969,true,0.126,0.016,0.016
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",88.62,0.0,224.37,1.785,221.53,227.21,false,135.75,0.605,18428.062
"false","[COMPRESSOR, ITERATIONS]",82.82,0.0,221.099,1.557,218.621,223.577,false,138.279,0.625,19121.082
"false","[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",82.82,0.0,221.37,1.963,218.246,224.494,false,138.55,0.626,19196.103
"true","[LOGLEVEL]",1.91,0.0,1.904,0.009,1.89,1.919,true,0.006,0.003,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",88.62,0.0,223.437,2.471,219.505,227.369,false,134.817,0.603,18175.623
"true","[COMPRESSIONLEVEL]",7.71,0.0,7.741,0.277,7.301,8.182,true,0.031,0.004,0.001
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",88.62,0.0,83.744,0.583,82.816,84.673,false,4.876,0.058,23.775
"true","[COMPRESSOR]",82.82,0.0,83.499,0.855,82.139,84.86,true,0.679,0.008,0.461
"false","[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.91,0.0,1.91,0.009,1.896,1.924,true,0,0,0
"false","[COMPRESSOR, REMOVEGAMMA]",82.82,0.0,83.842,0.795,82.578,85.106,true,1.022,0.012,1.044
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",88.62,0.0,223.318,0.959,221.792,224.845,false,134.698,0.603,18143.551
"true","[ITERATIONS]",1.91,0.0,1.885,0.009,1.871,1.899,false,0.025,0.013,0.001
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.71,0.0,7.737,0.136,7.52,7.954,true,0.027,0.003,0.001
"false","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",82.82,0.0,84.217,0.633,83.21,85.224,false,1.397,0.017,1.952
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",88.62,0.0,222.583,2.041,219.336,225.831,false,133.963,0.602,17946.085
"false","[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.71,0.0,7.814,0.125,7.615,8.013,true,0.104,0.013,0.011
"true","[REMOVEGAMMA]",1.91,0.0,1.877,0.01,1.861,1.893,false,0.033,0.018,0.001
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",82.82,0.0,224.548,2.035,221.31,227.786,false,141.728,0.631,20086.826
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL]",82.82,0.0,223.684,2.142,220.276,227.093,false,140.864,0.63,19842.666

Total: 32
MSE: 4720.177
RMSE: 68.704
MAPE: 16.743
Measured within ci: 0
Measured outside ci: 0
Predicted within ci: 0
Predicted outside ci: 0
Valid configs: 32.0
