measured,configuration,pair_wise,pair_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",1.88,0.0,1.887,0.009,1.874,1.901,true,0.007,0.004,0
"true","[LOGLEVEL, COMPRESSIONLEVEL]",7.74,0.0,7.806,0.105,7.638,7.974,true,0.066,0.008,0.004
"false","[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",85.57,0.0,83.224,0.756,82.021,84.428,false,2.346,0.028,5.504
"true","[COMPRESSOR, LOGLEVEL]",82.59,0.0,82.874,1.74,80.105,85.643,true,0.284,0.003,0.081
"true","[COMPRESSOR, COMPRESSIONLEVEL]",84.1,0.0,83.567,1.249,81.58,85.554,true,0.533,0.006,0.284
"true","[ITERATIONS, REMOVEGAMMA]",1.88,0.0,1.884,0.005,1.877,1.891,true,0.004,0.002,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.74,0.0,7.811,0.215,7.469,8.154,true,0.071,0.009,0.005
"true","[ITERATIONS, LOGLEVEL]",1.88,0.0,1.909,0.007,1.897,1.921,false,0.029,0.015,0.001
"false","[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.74,0.0,7.784,0.076,7.662,7.905,true,0.044,0.006,0.002
"true","[ITERATIONS, COMPRESSIONLEVEL]",7.74,0.0,7.866,0.18,7.58,8.151,true,0.126,0.016,0.016
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",85.57,0.0,83.753,0.628,82.753,84.753,false,1.817,0.022,3.301
"true","[LOGLEVEL, REMOVEGAMMA]",1.88,0.0,1.908,0.007,1.897,1.918,false,0.028,0.015,0.001
"true","[COMPRESSIONLEVEL, REMOVEGAMMA]",7.74,0.0,7.836,0.084,7.703,7.969,true,0.096,0.012,0.009
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",222.09,0.0,224.37,1.785,221.53,227.21,true,2.28,0.01,5.198
"true","[COMPRESSOR, ITERATIONS]",220.58,0.0,221.099,1.557,218.621,223.577,true,0.519,0.002,0.269
"false","[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",222.05,0.0,221.37,1.963,218.246,224.494,true,0.68,0.003,0.462
"true","[LOGLEVEL]",1.88,0.0,1.904,0.009,1.89,1.919,false,0.024,0.013,0.001
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",223.56,0.0,223.437,2.471,219.505,227.369,true,0.123,0.001,0.015
"true","[COMPRESSIONLEVEL]",7.74,0.0,7.741,0.277,7.301,8.182,true,0.001,0,0
"false","[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",84.1,0.0,83.744,0.583,82.816,84.673,true,0.356,0.004,0.127
"true","[COMPRESSOR]",82.59,0.0,83.499,0.855,82.139,84.86,true,0.909,0.011,0.826
"false","[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.88,0.0,1.91,0.009,1.896,1.924,false,0.03,0.016,0.001
"true","[COMPRESSOR, REMOVEGAMMA]",84.06,0.0,83.842,0.795,82.578,85.106,true,0.218,0.003,0.048
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",222.09,0.0,223.318,0.959,221.792,224.845,true,1.228,0.005,1.508
"true","[ITERATIONS]",1.88,0.0,1.885,0.009,1.871,1.899,true,0.005,0.003,0
"false","[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.74,0.0,7.737,0.136,7.52,7.954,true,0.003,0,0
"false","[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",84.06,0.0,84.217,0.633,83.21,85.224,true,0.157,0.002,0.025
"false","[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",223.56,0.0,222.583,2.041,219.336,225.831,true,0.977,0.004,0.955
"false","[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.74,0.0,7.814,0.125,7.615,8.013,true,0.074,0.009,0.005
"true","[REMOVEGAMMA]",1.88,0.0,1.877,0.01,1.861,1.893,true,0.003,0.002,0
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",222.05,0.0,224.548,2.035,221.31,227.786,true,2.498,0.011,6.24
"false","[COMPRESSOR, ITERATIONS, LOGLEVEL]",220.58,0.0,223.684,2.142,220.276,227.093,true,3.104,0.014,9.635

Total: 32
MSE: 1.079
RMSE: 1.039
MAPE: 0.813
Measured within ci: 0
Measured outside ci: 0
Predicted within ci: 0
Predicted outside ci: 0
Valid configs: 32.0
