measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",27.85,0.0,13.508,0.219,13.16,13.857,false,14.342,1.062,205.693
"false","[MONTHSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",0.0,0.0,1.538,0.006,1.528,1.548,false,1.538,1,2.365
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT]",0.0,0.0,3.54,0.066,3.434,3.645,false,3.54,1,12.532
"false","[NUMBERICSORT, UNIQUE, REVERSE, IGNORECASE]",3.6,0.0,30.466,0.474,29.712,31.22,false,26.866,0.882,721.782
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,4.943,0.108,4.771,5.114,false,4.943,1,24.433
"false","[VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE]",65.36,0.0,17.165,0.546,16.296,18.034,false,48.195,2.808,2322.758
"false","[MONTHSORT, VERSIONSORT, DICTIONARYORDER, CHECK, REVERSE]",1.56,0.0,1.568,0.006,1.557,1.578,true,0.008,0.005,0
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",65.36,0.0,13.489,0.062,13.39,13.588,false,51.871,3.845,2690.601
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, REVERSE]",40.27,0.0,51.114,1.053,49.438,52.789,false,10.844,0.212,117.592
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",139.54,0.0,104.136,1.187,102.247,106.025,false,35.404,0.34,1253.443
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",27.85,0.0,17.502,0.404,16.859,18.145,false,10.348,0.591,107.081
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",65.36,0.0,17.112,0.325,16.594,17.629,false,48.248,2.82,2327.87
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK]",63.32,0.0,143.771,8.347,130.49,157.052,false,80.451,0.56,6472.363
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",25.81,0.0,102.214,1.319,100.116,104.313,false,76.404,0.747,5837.571
"false","[IGNORELEADINGBLANKS, MONTHSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",0.0,0.0,1.537,0.007,1.526,1.547,false,1.537,1,2.362
"false","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, CHECK]",0.0,0.0,13.221,0.135,13.006,13.435,false,13.221,1,174.795
"true","[MERGE]",139.54,0.0,138.88,2.312,135.201,142.559,true,0.66,0.005,0.436
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",0.0,0.0,29.801,0.406,29.155,30.448,false,29.801,1,888.1
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, CHECK]",0.0,0.0,1.542,0.003,1.538,1.547,false,1.542,1,2.378
"false","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, GENERALNUMRICSORT, IGNORECASE]",25.81,0.0,287.669,2.21,284.153,291.185,false,261.859,0.91,68570.136
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",77.78,0.0,130.928,3.536,125.301,136.555,false,53.148,0.406,2824.71
"false","[VERSIONSORT, NUMBERICSORT, GENERALNUMRICSORT, IGNORECASE]",3.6,0.0,3.541,0.145,3.311,3.772,true,0.059,0.017,0.003
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",63.32,0.0,102.717,0.586,101.785,103.649,false,39.397,0.384,1552.124
"false","[MONTHSORT, DICTIONARYORDER, GENERALNUMRICSORT]",77.78,0.0,102.413,1.761,99.611,105.215,false,24.633,0.241,606.785
