measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",13.164,0.0,13.508,0.219,13.16,13.857,true,0.344,0.025,0.118
"false","[MONTHSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",1.541,0.0,1.538,0.006,1.528,1.548,true,0.003,0.002,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT]",3.417,0.0,3.54,0.066,3.434,3.645,false,0.123,0.035,0.015
"true","[NUMBERICSORT, UNIQUE, REVERSE, IGNORECASE]",30.213,0.0,30.466,0.474,29.712,31.22,true,0.253,0.008,0.064
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",4.879,0.0,4.943,0.108,4.771,5.114,true,0.064,0.013,0.004
"false","[VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE]",17.048,0.0,17.165,0.546,16.296,18.034,true,0.117,0.007,0.014
"false","[MONTHSORT, VERSIONSORT, DICTIONARYORDER, CHECK, REVERSE]",1.571,0.0,1.568,0.006,1.557,1.578,true,0.003,0.002,0
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",13.135,0.0,13.489,0.062,13.39,13.588,false,0.354,0.026,0.125
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.082,0.0,104.136,1.187,102.247,106.025,true,1.054,0.01,1.111
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, REVERSE]",51.202,0.0,51.114,1.053,49.438,52.789,true,0.088,0.002,0.008
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",17.221,0.0,17.502,0.404,16.859,18.145,true,0.281,0.016,0.079
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",101.772,0.0,102.214,1.319,100.116,104.313,true,0.442,0.004,0.195
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK]",142.82,0.0,143.771,8.347,130.49,157.052,true,0.951,0.007,0.904
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.293,0.0,17.112,0.325,16.594,17.629,true,0.181,0.011,0.033
"false","[IGNORELEADINGBLANKS, MONTHSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",1.536,0.0,1.537,0.007,1.526,1.547,true,0.001,0.001,0
"true","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, CHECK]",13.45,0.0,13.221,0.135,13.006,13.435,false,0.229,0.017,0.052
"true","[MERGE]",151.839,0.0,138.88,2.312,135.201,142.559,false,12.959,0.093,167.936
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",28.458,0.0,29.801,0.406,29.155,30.448,false,1.343,0.045,1.804
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, CHECK]",1.535,0.0,1.542,0.003,1.538,1.547,false,0.007,0.005,0
"true","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, GENERALNUMRICSORT, IGNORECASE]",290.742,0.0,287.669,2.21,284.153,291.185,true,3.073,0.011,9.443
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",133.756,0.0,130.928,3.536,125.301,136.555,true,2.828,0.022,7.998
"false","[VERSIONSORT, NUMBERICSORT, GENERALNUMRICSORT, IGNORECASE]",3.411,0.0,3.541,0.145,3.311,3.772,true,0.13,0.037,0.017
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",102.778,0.0,102.717,0.586,101.785,103.649,true,0.061,0.001,0.004
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.531,0.0,1.531,0.009,1.516,1.546,true,0,0,0
"false","[MONTHSORT, DICTIONARYORDER, GENERALNUMRICSORT]",101.205,0.0,102.413,1.761,99.611,105.215,true,1.208,0.012,1.459
"true","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.493,0.0,17.305,0.562,16.41,18.199,true,0.188,0.011,0.035
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",17.121,0.0,17.258,0.305,16.773,17.744,true,0.137,0.008,0.019
"true","[CHECK, GENERALNUMRICSORT, IGNORECASE]",1.53,0.0,1.538,0.008,1.525,1.551,true,0.008,0.005,0
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, IGNORECASE]",3.49,0.0,3.516,0.072,3.401,3.631,true,0.026,0.007,0.001
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, CHECK]",1.57,0.0,1.569,0.006,1.56,1.579,true,0.001,0.001,0
"true","[MERGE, NUMBERICSORT]",13.058,0.0,13.496,0.272,13.063,13.929,false,0.438,0.032,0.192
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.259,0.0,17.165,0.305,16.68,17.65,true,0.094,0.005,0.009
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",17.444,0.0,17.037,0.224,16.68,17.394,false,0.407,0.024,0.166
"false","[VERSIONSORT, UNIQUE, REVERSE, IGNORECASE]",69.701,0.0,85.173,20.902,51.913,118.433,true,15.472,0.182,239.383
"false","[VERSIONSORT, GENERALNUMRICSORT, IGNORECASE]",101.883,0.0,101.914,1.034,100.268,103.559,true,0.031,0,0.001
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, GENERALNUMRICSORT]",13.539,0.0,13.631,0.123,13.436,13.827,true,0.092,0.007,0.008
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",104.048,0.0,104.761,2.321,101.069,108.454,true,0.713,0.007,0.508
"false","[MONTHSORT, VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.082,0.0,103.59,2.202,100.087,107.094,true,0.508,0.005,0.258
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, GENERALNUMRICSORT]",288.093,0.0,288.866,1.063,287.175,290.557,true,0.773,0.003,0.598
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, CHECK]",1.535,0.0,1.535,0.002,1.532,1.538,true,0,0,0
"false","[VERSIONSORT, HUMANNUMERICSORT, REVERSE, GENERALNUMRICSORT]",103.152,0.0,103.557,1.13,101.76,105.354,true,0.405,0.004,0.164
"false","[MONTHSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",126.471,0.0,127.71,2.261,124.112,131.307,true,1.239,0.01,1.535
"true","[MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",13.517,0.0,13.38,0.174,13.103,13.658,true,0.137,0.01,0.019
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK]",13.346,0.0,13.222,0.268,12.795,13.648,true,0.124,0.009,0.015
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",16.984,0.0,16.875,0.385,16.263,17.487,true,0.109,0.006,0.012
"false","[MONTHSORT, NUMBERICSORT]",3.505,0.0,3.505,0.024,3.466,3.543,true,0,0,0
"true","[UNIQUE, CHECK, REVERSE, IGNORECASE]",1.56,0.0,1.57,0.002,1.567,1.574,false,0.01,0.006,0
"true","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",17.463,0.0,17.693,0.29,17.232,18.154,true,0.23,0.013,0.053
"false","[VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",29.326,0.0,30.076,0.185,29.782,30.37,false,0.75,0.025,0.562
"false","[MONTHSORT, VERSIONSORT]",66.513,0.0,74.095,12.473,54.247,93.943,true,7.582,0.102,57.487
"false","[HUMANNUMERICSORT, NUMBERICSORT, REVERSE, GENERALNUMRICSORT]",5.266,0.0,4.833,0.102,4.671,4.994,false,0.433,0.09,0.187
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",13.138,0.0,13.401,0.102,13.239,13.564,false,0.263,0.02,0.069
"true","[IGNORELEADINGBLANKS, MERGE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",102.697,0.0,104.037,1.555,101.563,106.511,true,1.34,0.013,1.796
"false","[MONTHSORT, VERSIONSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.535,0.0,1.537,0.007,1.526,1.549,true,0.002,0.001,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",102.697,0.0,104.198,0.393,103.572,104.824,false,1.501,0.014,2.253
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, IGNORECASE]",152.064,0.0,146.136,8.091,133.261,159.011,true,5.928,0.041,35.141
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, IGNORECASE]",110.865,0.0,113.928,0.635,112.918,114.939,false,3.063,0.027,9.382
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.259,0.0,17.223,0.308,16.732,17.713,true,0.036,0.002,0.001
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.53,0.0,1.537,0.006,1.528,1.546,true,0.007,0.005,0
"false","[MONTHSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.532,0.0,1.535,0.004,1.528,1.542,true,0.003,0.002,0
