measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK]",76.66,0.0,142.63,0,0,0,false,65.97,0.463,4352.041
"false","[HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK]",76.66,0.0,144.28,0,0,0,false,67.62,0.469,4572.464
"false","[VERSIONSORT, MONTHSORT, NUMERICSORT, UNIQUE, CHECK, IGNORECASE]",-65.57,0.0,1.586,0,0,0,false,67.156,42.343,4509.928
"false","[VERSIONSORT, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, DICTIONARYORDER, GENERALNUMERICSORT]",34.71,0.0,3.439,0,0,0,false,31.271,9.093,977.875
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, GENERALNUMERICSORT]",176.94,0.0,285.589,0,0,0,false,108.649,0.38,11804.605
"false","[VERSIONSORT, NUMERICSORT, DICTIONARYORDER, CHECK]",-65.57,0.0,1.55,0,0,0,false,67.12,43.303,4505.094
"false","[MONTHSORT, UNIQUE, DICTIONARYORDER, REVERSE]",70.62,0.0,72.052,0,0,0,false,1.432,0.02,2.051
"false","[IGNORELEADINGBLANKS, NUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",-65.57,0.0,1.555,0,0,0,false,67.125,43.167,4505.766
"false","[VERSIONSORT, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMERICSORT]",32.82,0.0,1.574,0,0,0,false,31.246,19.851,976.313
"false","[VERSIONSORT, MONTHSORT, CHECK, REVERSE, GENERALNUMERICSORT, IGNORECASE]",32.82,0.0,1.54,0,0,0,false,31.28,20.312,978.438
"false","[HUMANNUMERICSORT, NUMERICSORT, MERGE, CHECK, REVERSE, IGNORECASE]",9.51,0.0,16.763,0,0,0,false,7.253,0.433,52.606
"false","[VERSIONSORT, HUMANNUMERICSORT, NUMERICSORT, CHECK, GENERALNUMERICSORT, IGNORECASE]",-34.33,0.0,1.572,0,0,0,false,35.902,22.838,1288.954
"false","[MERGE, UNIQUE, CHECK, GENERALNUMERICSORT, IGNORECASE]",107.9,0.0,281.688,0,0,0,false,173.788,0.617,30202.269
"false","[MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.58,0.0,1.588,0,0,0,false,0.008,0.005,0
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK]",9.51,0.0,12.879,0,0,0,false,3.369,0.262,11.35
"false","[MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, DICTIONARYORDER, REVERSE]",78.55,0.0,17.543,0,0,0,false,61.007,3.478,3721.854
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, HUMANNUMERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",70.62,0.0,41.238,0,0,0,false,29.382,0.712,863.302
"false","[NUMERICSORT, DICTIONARYORDER, IGNORECASE]",3.47,0.0,3.561,0,0,0,false,0.091,0.026,0.008
"false","[NUMERICSORT, MERGE, DICTIONARYORDER, REVERSE]",78.55,0.0,17.438,0,0,0,false,61.112,3.505,3734.677
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, REVERSE, IGNORECASE]",145.7,0.0,27.625,0,0,0,false,118.075,4.274,13941.706
"false","[UNIQUE, CHECK, REVERSE, IGNORECASE]",1.58,0.0,1.581,0,0,0,false,0.001,0.001,0
"false","[VERSIONSORT, MONTHSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",76.66,0.0,144.38,0,0,0,false,67.72,0.469,4585.998
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, UNIQUE, REVERSE, IGNORECASE]",78.55,0.0,17.851,0,0,0,false,60.699,3.4,3684.369
"false","[VERSIONSORT, MONTHSORT]",70.62,0.0,83.758,0,0,0,false,13.138,0.157,172.607
"false","[MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, DICTIONARYORDER, IGNORECASE]",3.47,0.0,3.449,0,0,0,false,0.021,0.006,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, NUMERICSORT, CHECK, REVERSE, GENERALNUMERICSORT, IGNORECASE]",-34.33,0.0,1.583,0,0,0,false,35.913,22.687,1289.744
"false","[MONTHSORT, NUMERICSORT, MERGE, UNIQUE, REVERSE, IGNORECASE]",78.55,0.0,16.627,0,0,0,false,61.923,3.724,3834.458
"false","[VERSIONSORT, MONTHSORT, NUMERICSORT, MERGE, UNIQUE, REVERSE, GENERALNUMERICSORT]",109.79,0.0,17.055,0,0,0,false,92.735,5.437,8599.78
