measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",13.167,0.0,13.508,0.219,13.16,13.857,true,0.341,0.025,0.116
"false","[MONTHSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",1.538,0.0,1.538,0.006,1.528,1.548,true,0,0,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT]",3.475,0.0,3.54,0.066,3.434,3.645,true,0.065,0.018,0.004
"true","[NUMBERICSORT, UNIQUE, REVERSE, IGNORECASE]",30.196,0.0,30.466,0.474,29.712,31.22,true,0.27,0.009,0.073
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",4.832,0.0,4.943,0.108,4.771,5.114,true,0.111,0.022,0.012
"false","[VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE]",17.019,0.0,17.165,0.546,16.296,18.034,true,0.146,0.009,0.021
"false","[MONTHSORT, VERSIONSORT, DICTIONARYORDER, CHECK, REVERSE]",1.569,0.0,1.568,0.006,1.557,1.578,true,0.001,0.001,0
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",13.325,0.0,13.489,0.062,13.39,13.588,false,0.164,0.012,0.027
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, REVERSE]",51.169,0.0,51.114,1.053,49.438,52.789,true,0.055,0.001,0.003
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.884,0.0,104.136,1.187,102.247,106.025,true,0.252,0.002,0.064
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",17.378,0.0,17.502,0.404,16.859,18.145,true,0.124,0.007,0.015
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.349,0.0,17.112,0.325,16.594,17.629,true,0.237,0.014,0.056
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK]",144.206,0.0,143.771,8.347,130.49,157.052,true,0.435,0.003,0.189
