measured,configuration,splat,splat_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"true","[]",85.76,0,83.73,0,0,0,false,2.03,0.024,4.121
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.128,0,13.726,0,0,0,false,0.598,0.044,0.358
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",30.267,0,28.33,0,0,0,false,1.937,0.068,3.752
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",1.537,0,1.538,0,0,0,false,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",1.538,0,1.532,0,0,0,false,0.006,0.004,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.537,0,1.534,0,0,0,false,0.003,0.002,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.572,0,1.576,0,0,0,false,0.004,0.003,0
"false","[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",1.539,0,1.524,0,0,0,false,0.015,0.01,0
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",104.139,0,103.803,0,0,0,false,0.336,0.003,0.113
"false","[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.54,0,1.531,0,0,0,false,0.009,0.006,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.398,0,17.538,0,0,0,false,0.14,0.008,0.02
"false","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",51.088,0,50.599,0,0,0,false,0.489,0.01,0.239
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.398,0,17.218,0,0,0,false,0.18,0.01,0.032
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.539,0,1.537,0,0,0,false,0.002,0.001,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",13.128,0,13.912,0,0,0,false,0.784,0.056,0.615
