measured,configuration,pair_wise,pair_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",194.83,0.0,13.508,0.219,13.16,13.857,false,181.322,13.423,32877.668
"false","[MONTHSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",0.0,0.0,1.538,0.006,1.528,1.548,false,1.538,1,2.365
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT]",3.5,0.0,3.54,0.066,3.434,3.645,true,0.04,0.011,0.002
"false","[NUMBERICSORT, UNIQUE, REVERSE, IGNORECASE]",28.12,0.0,30.466,0.474,29.712,31.22,false,2.346,0.077,5.504
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",36.58,0.0,4.943,0.108,4.771,5.114,false,31.637,6.4,1000.9
"false","[VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE]",0.0,0.0,17.165,0.546,16.296,18.034,false,17.165,1,294.637
"false","[MONTHSORT, VERSIONSORT, DICTIONARYORDER, CHECK, REVERSE]",2.1,0.0,1.568,0.006,1.557,1.578,false,0.532,0.339,0.283
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",52.01,0.0,13.489,0.062,13.39,13.588,false,38.521,2.856,1483.867
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, REVERSE]",52.98,0.0,51.114,1.053,49.438,52.789,false,1.866,0.037,3.482
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",278.14,0.0,104.136,1.187,102.247,106.025,false,174.004,1.671,30277.392
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",0.0,0.0,17.502,0.404,16.859,18.145,false,17.502,1,306.32
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",84.7,0.0,17.112,0.325,16.594,17.629,false,67.588,3.95,4568.138
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK]",147.59,0.0,143.771,8.347,130.49,157.052,true,3.819,0.027,14.585
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",235.55,0.0,102.214,1.319,100.116,104.313,false,133.336,1.304,17778.489
"false","[IGNORELEADINGBLANKS, MONTHSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",56.95,0.0,1.537,0.007,1.526,1.547,false,55.413,36.053,3070.601
"false","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, CHECK]",101.85,0.0,13.221,0.135,13.006,13.435,false,88.629,6.704,7855.1
"true","[MERGE]",141.69,0.0,138.88,2.312,135.201,142.559,true,2.81,0.02,7.896
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",63.64,0.0,29.801,0.406,29.155,30.448,false,33.839,1.135,1145.078
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, CHECK]",27.25,0.0,1.542,0.003,1.538,1.547,false,25.708,16.672,660.901
"false","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, GENERALNUMRICSORT, IGNORECASE]",294.97,0.0,287.669,2.21,284.153,291.185,false,7.301,0.025,53.305
