SCALE,SCALE_IS_HEIGHT_DP,COMPRESSION_QUALITY,OUT_COMPRESSION,PLATFORM,time
0,0,1,0,0,16.66
0,1,0,1,0,16.68
1,0,0,0,0,132.51
0,1,0,0,0,16.54
1,0,0,0,1,132.04
0,0,1,1,0,16.64
1,0,0,1,0,128.68
1,1,0,0,0,131.15
0,0,1,0,1,16.54
0,0,0,0,1,16.65
0,0,0,1,0,16.75
0,0,0,1,1,16.8
0,0,0,0,0,16.58
0,1,1,0,0,16.66
1,0,1,0,0,126.12
0,1,0,0,1,16.53
