measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative % error,squared error
"true","[]",0.005,0.0,0.009,0.0,0.004,44.444,0
"true","[A]",1.009,0.0,1.009,0.0,0,0,0
"false","[B]",0.005,0.0,0.006,0.0,0.001,16.667,0
"false","[C]",0.005,0.0,0.005,0.0,0,0,0
"false","[A, B]",4.01,0.0,4.013,0.0,0.003,0.075,0
"false","[A, C]",3.013,0.0,3.012,0.0,0.001,0.033,0
"true","[B, C]",0.005,0.0,0.005,0.0,0,0,0
"true","[A, B, C]",6.014,0.0,6.012,0.0,0.002,0.033,0

MSE: 0
RMSE: 0.001
