measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.226,0.0,2.353,0.007,0.127,0.054,0.016
"true","[]",2.911,0.0,2.94,0.036,0.029,0.01,0.001
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES]",3.002,0.0,3.122,0.032,0.12,0.038,0.014
"true","[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.824,0.0,2.924,0.008,0.1,0.034,0.01
"false","[COUNT, LINENUMBER, IGNORECASE]",21.852,0.0,23.548,0.417,1.696,0.072,2.876
"true","[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.854,0.0,2.925,0.024,0.071,0.024,0.005
"false","[FIXEDSTRINGS, COUNT, LINENUMBER]",3.008,0.0,3.11,0.031,0.102,0.033,0.01
"false","[FIXEDSTRINGS, LINENUMBER]",2.855,0.0,2.989,0.013,0.134,0.045,0.018
"false","[COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",20.054,0.0,23.304,0.262,3.25,0.139,10.562
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES]",3.011,0.0,3.077,0.04,0.066,0.021,0.004
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",2.967,0.0,3.092,0.049,0.125,0.04,0.016
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.227,0.0,2.34,0.009,0.113,0.048,0.013
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER]",2.977,0.0,3.093,0.025,0.116,0.038,0.013
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",2.982,0.0,3.079,0.031,0.097,0.032,0.009
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",2.968,0.0,3.106,0.026,0.138,0.044,0.019
"true","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",3.0,0.0,3.054,0.016,0.054,0.018,0.003
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",2.974,0.0,3.064,0.019,0.09,0.029,0.008
"true","[COUNT, MATCHINGFILES]",3.755,0.0,3.861,0.037,0.106,0.027,0.011
"false","[INVERTMATCH, WHOLELINE, LINENUMBER]",2.842,0.0,2.917,0.017,0.075,0.026,0.006
"true","[INVERTMATCH, MATCHINGFILES]",2.222,0.0,2.347,0.01,0.125,0.053,0.016
"false","[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.062,0.0,3.162,0.036,0.1,0.032,0.01
"true","[INVERTMATCH]",2.885,0.0,2.932,0.02,0.047,0.016,0.002
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.221,0.0,2.341,0.003,0.12,0.051,0.014
"true","[COUNT]",3.811,0.0,3.874,0.087,0.063,0.016,0.004
"false","[WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",12.456,0.0,12.192,0.181,0.264,0.022,0.07
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",2.974,0.0,3.069,0.022,0.095,0.031,0.009
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.967,0.0,3.079,0.028,0.112,0.036,0.013
"true","[WHOLELINE]",2.923,0.0,2.956,0.019,0.033,0.011,0.001
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",2.952,0.0,3.114,0.021,0.162,0.052,0.026
"true","[WHOLELINE, MATCHINGFILES]",3.05,0.0,3.175,0.033,0.125,0.039,0.016
"true","[FIXEDSTRINGS, COUNT, MATCHINGFILES, IGNORECASE]",3.724,0.0,3.849,0.168,0.125,0.032,0.016
"true","[FIXEDSTRINGS, COUNT, IGNORECASE]",3.745,0.0,3.794,0.164,0.049,0.013,0.002
"false","[INVERTMATCH, LINENUMBER]",2.885,0.0,2.936,0.026,0.051,0.017,0.003
"true","[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.05,0.0,3.347,0.228,0.297,0.089,0.088
"false","[WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",11.809,0.0,12.005,0.818,0.196,0.016,0.038
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.0,0.0,3.046,0.03,0.046,0.015,0.002
"true","[INVERTMATCH, WHOLELINE, COUNT]",3.059,0.0,3.169,0.041,0.11,0.035,0.012
"false","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, IGNORECASE]",2.824,0.0,2.906,0.013,0.082,0.028,0.007
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.863,0.0,2.944,0.029,0.081,0.028,0.007
