measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",0.0,0.0,0.05,0.001,0.05,1,0.003
"false","[WHOLELINE, COUNT, IGNORECASE]",0.47,0.0,10.209,0.748,9.739,0.954,94.848
"false","[INVERTMATCH, COUNT, IGNORECASE]",0.47,0.0,21.073,0.373,20.603,0.978,424.484
"false","[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",0.01,0.0,9.351,0.257,9.341,0.999,87.254
"false","[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",0.0,0.0,17.534,1.324,17.534,1,307.441
"true","[FIXEDSTRINGS, MATCHINGFILES]",1.25,0.0,0.692,0.027,0.558,0.806,0.311
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",19.21,0.0,0.782,0.011,18.428,23.565,339.591
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",0.47,0.0,0.577,0.014,0.107,0.185,0.011
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",1.1,0.0,1.452,0.134,0.352,0.242,0.124
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",18.96,0.0,0.047,0.001,18.913,402.404,357.702
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES]",0.04,0.0,0.771,0.026,0.731,0.948,0.534
"true","[MATCHINGFILES, IGNORECASE]",1.0,0.0,0.209,0.016,0.791,3.785,0.626
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",19.21,0.0,0.048,0.001,19.162,399.208,367.182
"false","[FIXEDSTRINGS, WHOLELINE, COUNT]",0.72,0.0,0.689,0.007,0.031,0.045,0.001
"false","[FIXEDSTRINGS, LINENUMBER, IGNORECASE]",1.1,0.0,0.575,0.018,0.525,0.913,0.276
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES]",0.26,0.0,0.684,0.023,0.424,0.62,0.18
