measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",10.86,0.715,12.212,0.433,1.352,0.111,1.828
"true","[INVERTMATCH, COUNT, IGNORECASE]",22.739,0.467,22.739,0.467,0,0,0
"false","[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",22.739,0.467,22.633,0.309,0.106,0.005,0.011
"true","[FIXEDSTRINGS, MATCHINGFILES]",3.093,0.034,3.093,0.034,0,0,0
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.221,0.043,3.181,0.02,0.04,0.013,0.002
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",2.9,0.014,2.9,0.014,0,0,0
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",3.971,0.125,3.889,0.175,0.082,0.021,0.007
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.334,0.012,2.346,0.018,0.012,0.005,0
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES]",3.073,0.041,3.059,0.025,0.014,0.005,0
"true","[MATCHINGFILES, IGNORECASE]",2.495,0.042,2.495,0.042,0,0,0
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.353,0.017,2.345,0.012,0.008,0.003,0
"false","[FIXEDSTRINGS, LINENUMBER, IGNORECASE]",2.948,0.03,2.903,0.014,0.045,0.016,0.002
"true","[FIXEDSTRINGS, WHOLELINE, COUNT]",3.041,0.03,3.041,0.03,0,0,0
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES]",3.041,0.03,3.052,0.028,0.011,0.004,0
"false","[FIXEDSTRINGS, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.854,0.178,3.963,0.157,0.109,0.028,0.012
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.971,0.125,3.976,0.08,0.005,0.001,0
"false","[COUNT, LINENUMBER]",3.82,0.085,3.861,0.057,0.041,0.011,0.002
"true","[INVERTMATCH, WHOLELINE, MATCHINGFILES]",2.348,0.016,2.348,0.016,0,0,0
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, IGNORECASE]",2.921,0.025,2.922,0.012,0.001,0,0
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.051,0.028,3.047,0.031,0.004,0.001,0
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.051,0.028,3.053,0.009,0.002,0.001,0
"false","[COUNT, MATCHINGFILES, IGNORECASE]",20.183,1.348,23.511,0.151,3.328,0.142,11.076
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, IGNORECASE]",2.928,0.022,2.919,0.031,0.009,0.003,0
"true","[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES]",3.078,0.023,3.078,0.023,0,0,0
"true","[INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.362,0.018,2.362,0.018,0,0,0
"false","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.362,0.014,2.347,0.013,0.015,0.006,0
"true","[FIXEDSTRINGS, WHOLELINE]",2.922,0.009,2.922,0.009,0,0,0
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, IGNORECASE]",3.884,0.173,3.859,0.064,0.025,0.006,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT]",3.075,0.023,3.075,0.023,0,0,0
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER]",2.958,0.018,2.915,0.015,0.043,0.015,0.002
"false","[FIXEDSTRINGS, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.884,0.173,4.067,0.194,0.183,0.045,0.033
"true","[WHOLELINE, MATCHINGFILES, IGNORECASE]",12.14,0.613,12.14,0.613,0,0,0
"true","[COUNT, IGNORECASE]",20.183,1.348,20.183,1.348,0,0,0
"true","[INVERTMATCH, IGNORECASE]",2.899,0.017,2.899,0.017,0,0,0
"true","[INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",12.374,0.817,12.374,0.817,0,0,0
"true","[FIXEDSTRINGS, INVERTMATCH]",2.905,0.017,2.905,0.017,0,0,0
"true","[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES]",2.346,0.012,2.346,0.012,0,0,0
"true","[WHOLELINE, IGNORECASE]",2.919,0.021,2.919,0.021,0,0,0
"false","[FIXEDSTRINGS, COUNT, MATCHINGFILES]",3.104,0.027,3.092,0.041,0.012,0.004,0
