measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[WHOLELINE, LINENUMBER]",2.923,0.0,2.916,0.006,2.906,2.927,true,0.007,0.002,0
"false","[INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.222,0.0,2.351,0.019,2.322,2.381,false,0.129,0.055,0.017
"true","[FIXEDSTRINGS]",2.855,0.0,2.917,0.032,2.865,2.968,false,0.062,0.021,0.004
"false","[LINENUMBER, MATCHINGFILES, IGNORECASE]",2.361,0.0,2.502,0.019,2.472,2.532,false,0.141,0.056,0.02
"false","[LINENUMBER, IGNORECASE]",2.865,0.0,2.95,0.051,2.868,3.032,false,0.085,0.029,0.007
"true","[IGNORECASE]",2.865,0.0,2.939,0.029,2.893,2.986,false,0.074,0.025,0.005
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.059,0.0,3.134,0.013,3.113,3.155,false,0.075,0.024,0.006
"false","[WHOLELINE, LINENUMBER, MATCHINGFILES]",3.05,0.0,3.138,0.065,3.035,3.241,true,0.088,0.028,0.008
"true","[FIXEDSTRINGS, INVERTMATCH, COUNT]",2.977,0.0,3.104,0.048,3.028,3.181,false,0.127,0.041,0.016
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.227,0.0,2.345,0.014,2.324,2.367,false,0.118,0.05,0.014
"true","[WHOLELINE, COUNT, IGNORECASE]",11.809,0.0,12.127,0.909,10.68,13.574,true,0.318,0.026,0.101
"true","[WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",12.456,0.0,12.325,0.528,11.485,13.166,true,0.131,0.011,0.017
"true","[INVERTMATCH, COUNT, IGNORECASE]",21.707,0.0,23.217,0.551,22.34,24.093,false,1.51,0.065,2.28
"true","[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",21.874,0.0,22.873,0.382,22.266,23.48,false,0.999,0.044,0.998
"true","[FIXEDSTRINGS, MATCHINGFILES]",3.011,0.0,3.08,0.037,3.021,3.138,false,0.069,0.022,0.005
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.05,0.0,3.151,0.025,3.111,3.191,false,0.101,0.032,0.01
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, IGNORECASE]",2.863,0.0,2.916,0.017,2.889,2.943,false,0.053,0.018,0.003
"false","[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",3.604,0.0,3.937,0.082,3.805,4.068,false,0.333,0.085,0.111
"false","[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.223,0.0,2.35,0.009,2.335,2.365,false,0.127,0.054,0.016
"true","[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES]",2.968,0.0,3.093,0.032,3.042,3.144,false,0.125,0.04,0.016
"true","[MATCHINGFILES, IGNORECASE]",2.361,0.0,2.492,0.044,2.423,2.562,false,0.131,0.053,0.017
