measured,configuration,performance,std,minci,maxci
true,"[MAX_BUFFERED_DOCS, RAM_BUFFER_SIZE]",12.229,0.088,12.088,12.369
true,"[MAX_BUFFERED_DOCS, CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",14.11,1.098,12.364,15.857
true,"[USE_COMPOUND_FILE, CODEC, MAX_TOKEN_LENGTH, MERGE_POLICY]",14.748,0.318,14.242,15.254
true,"[USE_COMPOUND_FILE, CREATE, MAX_TOKEN_LENGTH, MERGE_POLICY]",14.788,0.232,14.419,15.156
true,"[CODEC, CREATE]",11.374,0.225,11.015,11.732
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, MAX_TOKEN_LENGTH, MERGE_POLICY]",33.17,0.541,32.309,34.031
true,"[USE_COMPOUND_FILE, CREATE, MERGE_POLICY]",15.121,0.087,14.982,15.26
true,"[MAX_BUFFERED_DOCS, CODEC, CREATE, RAM_BUFFER_SIZE]",11.247,0.187,10.95,11.545
true,"[CODEC, MAX_TOKEN_LENGTH, MERGE_POLICY]",11.751,0.124,11.554,11.948
true,"[USE_COMPOUND_FILE, CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",14.66,0.143,14.432,14.888
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CODEC, MAX_TOKEN_LENGTH, MERGE_POLICY]",36.774,0.961,35.244,38.303
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CODEC, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",37.378,0.448,36.666,38.09
true,"[MAX_BUFFERED_DOCS, CODEC, RAM_BUFFER_SIZE]",11.298,0.077,11.175,11.421
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, CODEC, RAM_BUFFER_SIZE]",13.745,0.318,13.238,14.251
true,"[MAX_BUFFERED_DOCS, CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",14.104,0.396,13.474,14.734
true,"[MERGE_POLICY]",11.864,0.097,11.71,12.018
true,"[MAX_BUFFERED_DOCS]",12.191,0.263,11.772,12.609
true,"[USE_COMPOUND_FILE, MAX_TOKEN_LENGTH, MERGE_POLICY]",14.544,0.216,14.2,14.888
true,"[CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",11.728,0.562,10.834,12.621
true,"[MAX_BUFFERED_DOCS, CREATE]",12.288,0.133,12.076,12.5
true,"[USE_COMPOUND_FILE, CODEC, CREATE, RAM_BUFFER_SIZE, MERGE_POLICY]",13.41,0.106,13.241,13.579
true,"[CODEC, CREATE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",11.954,0.418,11.288,12.62
true,"[CODEC, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",12.518,0.421,11.849,13.188
true,"[CODEC]",11.386,0.165,11.123,11.648
true,"[CODEC, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH, MERGE_POLICY]",11.886,0.115,11.703,12.069
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, MAX_TOKEN_LENGTH]",33.236,0.311,32.741,33.731
true,"[CODEC, CREATE, MAX_TOKEN_LENGTH]",12.238,0.408,11.589,12.888
true,"[USE_COMPOUND_FILE, CODEC, MERGE_POLICY]",13.38,0.167,13.115,13.645
true,"[MAX_BUFFERED_DOCS, CODEC, CREATE, RAM_BUFFER_SIZE, MERGE_POLICY]",10.851,0.116,10.667,11.035
true,"[MAX_BUFFERED_DOCS, USE_COMPOUND_FILE, RAM_BUFFER_SIZE, MAX_TOKEN_LENGTH]",33.745,0.817,32.445,35.045
true,"[MAX_BUFFERED_DOCS, RAM_BUFFER_SIZE, MERGE_POLICY]",11.624,0.151,11.384,11.864
true,"[MAX_BUFFERED_DOCS, CODEC, CREATE, MERGE_POLICY]",10.972,0.233,10.601,11.342
true,"[CODEC, MAX_TOKEN_LENGTH]",12.202,0.298,11.727,12.676
true,"[MAX_BUFFERED_DOCS, CREATE, MAX_TOKEN_LENGTH]",14.076,0.387,13.46,14.691
