FIXEDSTRINGS,INVERTMATCH,WHOLELINE,COUNT,LINENUMBER,MATCHINGFILES,IGNORECASE,time
0,0,0,0,0,0,1,0.565
0,0,0,1,0,0,0,1.574
0,1,0,0,0,0,0,0.544
1,0,0,0,0,0,0,0.557
0,0,1,0,0,0,0,0.552
0,0,0,0,1,0,0,0.577
0,0,0,0,0,1,0,1.51
