DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,10.905
0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,10.318
0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,10.346
1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,4.899
1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,4.397
0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,11.798
0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,10.398
1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,8.047
1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,23.37
1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,23.38
1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,6.506
1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,4.326
0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,11.686
0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,11.661
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,4.744
1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,7.767
0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,10.923
0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,18.611
1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,6.664
0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,11.759
1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,4.902
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,18.79
1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,4.855
0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,11.642
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,5.244
1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,7.083
1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,5.412
0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,10.287
1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,7.745
0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,11.285
0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,9.95
1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,8.075
0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,10.93
1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,21.358
1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,4.365
1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,23.272
0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,11.313
0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,11.701
