measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative % error,squared error
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR]",6.94,0.0,5.755,0.074,1.185,20.591,1.404
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",48.836,0.0,63.198,0.402,14.362,22.725,206.267
"false","[]",12.67,0.0,10.924,0.134,1.746,15.983,3.049
"false","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",21.847,0.0,31.105,0.245,9.258,29.764,85.711
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",53.645,0.0,55.486,0.866,1.841,3.318,3.389
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.792,0.0,8.508,0.109,1.284,15.092,1.649
"true","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",6.243,0.0,5.763,0.267,0.48,8.329,0.23
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.871,0.0,18.366,0.48,8.495,46.254,72.165
"true","[FILEAGETHRESHOLD, CLOCK]",13.513,0.0,10.856,0.263,2.657,24.475,7.06
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER]",49.285,0.0,62.22,0.586,12.935,20.789,167.314
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC]",6.242,0.0,8.583,0.243,2.341,27.275,5.48
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",43.215,0.0,43.263,0.455,0.048,0.111,0.002
"false","[DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",19.786,0.0,32.641,0.764,12.855,39.383,165.251
"false","[FILEAGETHRESHOLD, DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",49.39,0.0,62.296,0.326,12.906,20.717,166.565
"false","[FILEAGETHRESHOLD, DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",49.062,0.0,62.239,0.546,13.177,21.172,173.633
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, CLOCK]",6.579,0.0,8.279,0.243,1.7,20.534,2.89
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER]",48.361,0.0,63.546,0.448,15.185,23.896,230.584
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",18.855,0.0,18.535,0.23,0.32,1.726,0.102
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",49.437,0.0,63.174,0.536,13.737,21.745,188.705
"true","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.596,0.0,54.861,0.536,0.265,0.483,0.07
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, CLOCK]",6.309,0.0,6.364,0.287,0.055,0.864,0.003
"true","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",53.538,0.0,54.418,0.633,0.88,1.617,0.774
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",10.568,0.0,8.537,0.325,2.031,23.791,4.125
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",10.344,0.0,8.421,0.204,1.923,22.836,3.698
"true","[FILEAGETHRESHOLD]",12.503,0.0,10.815,0.131,1.688,15.608,2.849
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",44.27,0.0,43.958,0.359,0.312,0.71,0.097
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",49.143,0.0,62.035,0.581,12.892,20.782,166.204
"false","[FILEAGETHRESHOLD, DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",20.509,0.0,30.257,0.633,9.748,32.217,95.024
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",10.31,0.0,18.329,0.751,8.019,43.75,64.304
"false","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",19.711,0.0,30.781,0.335,11.07,35.964,122.545
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.32,0.0,8.583,0.344,1.737,20.238,3.017
"false","[DEEPCOPY, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",6.331,0.0,8.468,0.353,2.137,25.236,4.567
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.62,0.0,18.622,0.204,9.002,48.341,81.036
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER]",6.205,0.0,5.633,0.095,0.572,10.154,0.327
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, DISKSYNC, CLOCK]",6.299,0.0,8.273,0.205,1.974,23.861,3.897
"true","[CLOCK]",12.641,0.0,10.764,0.24,1.877,17.438,3.523
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.336,0.0,55.795,0.327,1.459,2.615,2.129
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",44.501,0.0,44.607,0.751,0.106,0.238,0.011
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",16.192,0.0,16.068,0.354,0.124,0.772,0.015
"true","[TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",10.401,0.0,9.516,0.434,0.885,9.3,0.783
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",12.115,0.0,15.257,0.353,3.142,20.594,9.872
"true","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",54.464,0.0,55.587,0.4,1.123,2.02,1.261
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER]",6.278,0.0,6.294,0.228,0.016,0.254,0
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER, CLOCK]",6.421,0.0,6.301,0.276,0.12,1.904,0.014
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",48.493,0.0,54.707,0.572,6.214,11.359,38.614
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",6.367,0.0,7.963,0.351,1.596,20.043,2.547
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.856,0.0,8.562,0.233,1.706,19.925,2.91
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",10.01,0.0,9.106,0.315,0.904,9.928,0.817
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",49.31,0.0,65.505,1.202,16.195,24.723,262.278
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, FILESIZETHRESHOLD]",6.981,0.0,8.147,0.307,1.166,14.312,1.36
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.488,0.0,8.142,0.258,1.654,20.314,2.736
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.512,0.0,18.499,0.621,7.987,43.175,63.792
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",49.402,0.0,54.93,0.346,5.528,10.064,30.559
"true","[TRANSIENTMODE, MONITOR]",6.348,0.0,5.713,0.295,0.635,11.115,0.403
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.883,0.0,8.126,0.379,1.757,21.622,3.087
"false","[FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",16.557,0.0,15.536,0.197,1.021,6.572,1.042
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",53.899,0.0,55.87,0.58,1.971,3.528,3.885
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.983,0.0,8.099,0.101,1.116,13.779,1.245
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",16.245,0.0,15.843,0.354,0.402,2.537,0.162
"true","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",6.772,0.0,5.762,0.076,1.01,17.529,1.02
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",54.012,0.0,55.108,0.285,1.096,1.989,1.201
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.952,0.0,18.64,0.467,8.688,46.609,75.481
"true","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD]",47.978,0.0,48.951,0.691,0.973,1.988,0.947
"false","[FILEAGETHRESHOLD, DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",20.358,0.0,30.76,0.441,10.402,33.817,108.202
"false","[FILEAGETHRESHOLD, DEEPCOPY, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD, CLOCK]",6.244,0.0,8.532,0.291,2.288,26.817,5.235
"false","[DEEPCOPY, FILESIZETHRESHOLD, CLOCK]",15.927,0.0,18.852,0.232,2.925,15.516,8.556
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.426,0.0,9.455,0.377,0.971,10.27,0.943
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",9.934,0.0,18.33,0.125,8.396,45.805,70.493
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",9.999,0.0,17.706,0.515,7.707,43.528,59.398
"false","[FILEAGETHRESHOLD, DEEPCOPY, DISKSYNC, CLOCK]",43.957,0.0,51.668,0.627,7.711,14.924,59.46
"true","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, CLOCK]",9.872,0.0,8.707,0.809,1.165,13.38,1.357
"false","[FILEAGETHRESHOLD, DEEPCOPY, DISKSYNC]",43.806,0.0,51.894,0.741,8.088,15.586,65.416
