FREQTHRESHOLD,TIMEOUT,DISTTHRESHOLD,LOGLEVEL,MINALPHA,time
0,0,0,0,0,5.401
0,1,1,0,0,5.337
0,1,0,0,1,5.262
1,0,1,0,0,5.497
1,0,0,0,0,5.419
0,1,0,0,0,5.451
0,1,0,1,0,5.453
0,0,0,1,1,5.24
0,0,0,1,0,5.273
1,1,0,0,0,5.453
0,0,1,0,1,5.37
1,0,0,0,1,5.397
0,0,0,0,1,5.294
1,0,0,1,0,5.3
0,0,1,1,0,5.375
0,0,1,0,0,5.456
