DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.935
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11.083
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18.49
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,18.731
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.827
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.956
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,26.668
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.586
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.068
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18.456
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,18.666
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26.539
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.333
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10.666
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,18.687
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.042
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,18.481
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18.386
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.438
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18.743
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,18.486
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18.586
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.921
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10.997
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26.919
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.511
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.781
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18.723
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.031
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18.425
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18.576
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18.473
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,18.454
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,18.723
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.057
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18.762
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18.54
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18.471
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.051
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.439
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.011
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18.48
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18.578
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.151
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.129
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18.68
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18.514
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.94
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18.582
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.861
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,18.616
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.131
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18.59
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.773
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.875
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18.593
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,26.739
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.8
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.683
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18.52
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11.094
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.169
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.636
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18.715
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.235
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18.547
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.095
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,18.658
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18.581
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.918
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18.478
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.994
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.006
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,18.756
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.57
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11.646
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11.027
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18.451
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.995
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18.573
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18.546
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18.628
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18.49
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18.614
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26.94
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.449
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.954
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.984
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11.17
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18.616
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18.472
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,18.61
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,26.873
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18.514
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.571
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,26.77
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18.474
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18.36
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18.624
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.844
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18.65
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18.691
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11.084
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18.436
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.105
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.425
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18.442
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18.597
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.94
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26.935
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18.766
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23.477
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,18.492
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.699
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.457
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.591
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18.625
