COMPRESSOR,ITERATIONS,LOGLEVEL,COMPRESSIONLEVEL,REMOVEGAMMA,time
0,0,1,1,0,7.693
0,0,0,0,0,1.893
1,0,0,0,0,82.819
0,1,0,1,0,8.056
0,1,1,0,0,1.904
1,0,0,0,1,84.005
0,1,0,0,1,1.93
0,1,0,0,0,1.92
1,0,0,1,0,84.094
0,0,1,0,1,1.903
0,0,0,0,1,1.896
0,0,1,0,0,1.91
1,1,0,0,0,220.7
1,0,1,0,0,82.358
0,0,0,1,1,7.546
0,0,0,1,0,7.709
