measured,configuration,splat,splat_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[OVERLOADED, WEIGHT, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[OVERLOADED]",0.003,0,0.004,0,0.003,0.004,true,0.001,0.25,0
"false","[OVERLOADED, WEIGHT, EMPTY]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[WEIGHT, EMPTY, TWOTHIRDSFULL, BASE]",32.359,0,32.244,0.085,32.109,32.379,true,0.115,0.004,0.013
"false","[WEIGHT, EMPTY]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[EXECUTIVEFLOOR, EMPTY, TWOTHIRDSFULL, BASE]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[EMPTY, BASE]",11.141,0,11.145,0.042,11.078,11.212,true,0.004,0,0
"false","[OVERLOADED, WEIGHT]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[OVERLOADED, EXECUTIVEFLOOR, TWOTHIRDSFULL, BASE]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[OVERLOADED, EXECUTIVEFLOOR, WEIGHT, EMPTY, TWOTHIRDSFULL]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"true","[OVERLOADED, BASE]",0.003,0,0.003,0,0.003,0.004,true,0,0,0
"false","[OVERLOADED, EXECUTIVEFLOOR, EMPTY]",0.003,0,0.003,0.001,0.002,0.004,true,0,0,0
"true","[OVERLOADED, WEIGHT, TWOTHIRDSFULL, BASE]",23.791,0,23.559,0.252,23.159,23.96,true,0.232,0.01,0.054
"true","[OVERLOADED, WEIGHT, EMPTY, BASE]",35.006,0,34.56,0.614,33.584,35.537,true,0.446,0.013,0.199

Total: 64
MSE: �
RMSE: �
MAPE: �
Measured within ci: 22
Measured outside ci: 1
Predicted within ci: 41
Predicted outside ci: 0
