measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative % error,squared error
"true","[]",0.614,0.0,0.007,0.001,0.607,8671.429,0.368
"true","[A]",1.619,0.0,1.008,0.001,0.611,60.615,0.373
"false","[B]",0.616,0.0,0.006,0.0,0.61,10166.667,0.372
"false","[C]",0.614,0.0,0.006,0.0,0.608,10133.333,0.37
"false","[A, B]",3.618,0.0,3.014,0.002,0.604,20.04,0.365
"false","[A, C]",5.623,0.0,5.012,0.001,0.611,12.191,0.373
"true","[B, C]",0.616,0.0,0.006,0.0,0.61,10166.667,0.372
"true","[A, B, C]",7.622,0.0,7.016,0.003,0.606,8.637,0.367

MSE: 0.37
RMSE: 0.608
